H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5127
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:43:09
H,SpiderTimeZone,+1
H,SpiderUpTime,164
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776157
H,DriftTimeP3,25776157
H,DriftTimeP4,25776158
H,LogStartTime,2012-05-11 11:41:41
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,21.92
L,REG404,0.00,38.12
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.00
L,REG408,0.00,26.89
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG403,0.10,22.96
L,REG405,0.20,-0.08
L,REG407,0.20,0.12
L,REG407,0.30,0.08
L,REG405,0.40,0.20
L,REG407,0.40,0.00
L,REG403,0.60,21.92
L,REG405,0.60,-0.08
L,REG405,0.70,0.20
L,REG403,0.80,22.96
L,REG403,0.90,21.92
L,REG405,0.90,-0.08
L,REG405,1.00,0.20
L,REG407,1.20,0.04
L,REG403,1.30,22.96
L,REG405,1.40,-0.08
L,REG407,1.40,0.00
L,REG403,1.60,21.92
L,REG405,1.60,0.20
L,REG407,1.70,0.04
L,REG403,1.80,22.96
L,REG407,1.80,0.00
L,REG407,2.00,0.08
L,REG405,2.10,-0.08
L,REG403,2.20,21.92
L,REG407,2.20,0.00
L,REG405,2.30,0.20
L,REG403,2.50,22.96
L,REG405,2.50,-0.08
L,REG405,2.60,0.20
L,REG403,2.80,21.92
L,REG405,2.80,-0.08
L,REG407,2.80,0.04
L,REG403,2.90,22.96
L,REG405,2.90,0.20
L,REG407,2.90,0.00
L,REG403,3.20,21.92
L,REG407,3.20,0.04
L,REG403,3.30,22.96
L,REG407,3.30,0.00
L,REG403,3.40,21.92
L,REG405,3.60,-0.08
L,REG405,3.70,0.20
L,REG407,3.70,0.08
L,REG407,3.80,0.12
L,REG407,3.90,0.08
L,REG407,4.00,0.00
L,REG405,4.10,-0.08
L,REG405,4.20,0.20
L,REG403,4.30,22.96
L,REG407,4.30,0.12
L,REG403,4.50,21.92
L,REG407,4.50,0.16
L,REG403,4.60,22.96
L,REG407,4.60,0.08
L,REG407,4.70,0.16
L,REG407,4.90,0.08
L,REG407,5.00,0.00
L,REG403,5.10,21.92
L,REG407,5.10,0.08
L,REG407,5.20,0.12
L,REG405,5.30,-0.08
L,REG407,5.30,0.08
L,REG405,5.40,0.20
L,REG407,5.40,0.04
L,REG407,5.50,0.00
L,REG407,5.60,0.08
L,REG407,5.70,0.12
L,REG407,5.80,0.04
L,REG407,5.90,0.00
L,REG403,6.00,22.96
L,REG405,6.00,-0.08
L,REG404,6.10,37.85
L,REG405,6.10,0.20
L,REG403,6.20,21.92
L,REG404,6.20,38.12
L,REG403,6.30,22.96
L,REG405,6.30,-0.08
L,REG404,6.40,37.85
L,REG405,6.40,0.20
L,REG404,6.50,38.12
L,REG403,6.60,21.92
L,REG403,6.80,22.96
L,REG407,6.80,0.08
L,REG403,6.90,21.92
L,REG407,6.90,0.04
L,REG405,7.00,-0.08
L,REG407,7.00,0.08
L,REG405,7.10,0.20
L,REG407,7.10,0.04
L,REG403,7.20,22.96
L,REG407,7.20,0.08
L,REG403,7.40,21.92
L,REG407,7.40,0.04
L,REG407,7.50,0.00
L,REG403,7.60,22.96
L,REG403,7.70,21.92
L,REG403,7.80,22.96
L,REG405,7.80,-0.08
L,REG407,7.90,0.16
L,REG403,8.00,21.92
L,REG404,8.00,37.85
L,REG405,8.00,0.20
L,REG407,8.00,0.04
L,REG404,8.10,38.12
L,REG407,8.10,0.00
L,REG405,8.20,-0.08
L,REG403,8.30,22.96
L,REG403,8.40,21.92
L,REG407,8.40,0.08
L,REG405,8.50,0.20
L,REG407,8.50,0.20
L,REG407,8.60,0.12
L,REG403,8.70,22.96
L,REG407,8.70,0.04
L,REG403,8.80,21.92
L,REG407,8.80,0.00
L,REG403,8.90,22.96
L,REG405,8.90,-0.08
L,REG405,9.00,0.20
L,REG403,9.10,21.92
L,REG404,9.10,37.85
L,REG404,9.20,38.12
L,REG407,9.20,0.08
L,REG407,9.30,0.12
L,REG403,9.40,22.96
L,REG407,9.50,0.00
L,REG403,9.60,21.92
L,REG405,9.60,-0.08
L,REG403,9.70,22.96
L,REG405,9.70,0.20
L,REG407,9.70,0.12
L,REG403,9.80,21.92
L,REG407,9.80,0.08
L,REG407,9.90,0.04
L,REG407,10.00,0.00
L,REG404,10.10,37.85
L,REG404,10.20,38.12
L,REG405,10.20,-0.08
L,REG403,10.30,22.96
L,REG404,10.30,37.85
L,REG405,10.30,0.20
L,REG407,10.30,0.08
L,REG403,10.40,21.92
L,REG407,10.40,0.04
L,REG404,10.50,38.12
L,REG405,10.50,-0.08
L,REG407,10.50,0.00
L,REG405,10.60,0.20
L,REG407,10.60,0.04
L,REG405,10.80,-0.08
L,REG403,10.90,22.96
L,REG404,10.90,37.85
L,REG405,10.90,0.20
L,REG407,10.90,0.00
L,REG403,11.00,21.92
L,REG405,11.00,-0.08
L,REG405,11.10,0.20
L,REG403,11.20,22.96
L,REG404,11.20,38.12
L,REG405,11.20,-0.08
L,REG407,11.20,0.04
L,REG404,11.30,37.85
L,REG405,11.30,0.20
L,REG407,11.30,0.20
L,REG403,11.40,21.92
L,REG407,11.40,0.16
L,REG404,11.50,38.12
L,REG405,11.50,-0.08
L,REG407,11.50,0.04
L,REG404,11.60,37.85
L,REG405,11.60,0.20
L,REG407,11.60,0.12
L,REG404,11.70,38.12
L,REG405,11.70,-0.08
L,REG403,11.80,22.96
L,REG404,11.80,37.85
L,REG405,11.80,0.20
L,REG407,11.80,0.20
L,REG403,12.00,21.92
L,REG407,12.00,0.12
L,REG405,12.10,-0.08
L,REG407,12.10,0.08
L,REG404,12.20,38.12
L,REG405,12.20,0.20
L,REG407,12.20,0.04
L,REG404,12.30,37.85
L,REG407,12.30,0.08
L,REG404,12.40,38.12
L,REG407,12.40,0.00
L,REG403,12.50,22.96
L,REG404,12.50,37.85
L,REG403,12.60,21.92
L,REG404,12.60,38.12
L,REG407,12.60,0.04
L,REG404,12.70,37.85
L,REG407,12.70,0.16
L,REG404,12.80,38.12
L,REG405,12.80,-0.08
L,REG407,12.80,0.20
L,REG404,12.90,37.85
L,REG405,12.90,0.20
L,REG404,13.00,38.12
L,REG405,13.00,-0.08
L,REG407,13.00,0.24
L,REG405,13.10,0.20
L,REG407,13.10,0.12
L,REG404,13.20,37.85
L,REG407,13.20,0.08
L,REG405,13.30,-0.08
L,REG407,13.30,0.00
L,REG403,13.40,22.96
L,REG404,13.50,38.12
L,REG405,13.50,0.20
L,REG407,13.50,0.20
L,REG403,13.60,21.92
L,REG407,13.60,0.24
L,REG404,13.70,37.85
L,REG407,13.70,0.20
L,REG407,13.80,0.16
L,REG407,14.00,0.20
L,REG404,14.10,38.12
L,REG407,14.10,0.32
L,REG403,14.20,22.96
L,REG404,14.20,37.85
L,REG405,14.20,-0.08
L,REG407,14.20,0.36
L,REG403,14.30,21.92
L,REG405,14.40,0.20
L,REG407,14.40,0.44
L,REG407,14.50,0.36
L,REG403,14.60,22.96
L,REG407,14.60,0.24
L,REG403,14.70,21.92
L,REG404,14.70,38.12
L,REG407,14.70,0.28
L,REG404,14.80,37.85
L,REG407,14.80,0.40
L,REG403,14.90,22.96
L,REG407,14.90,0.48
L,REG403,15.00,21.92
L,REG404,15.00,38.12
L,REG405,15.00,-0.08
L,REG407,15.00,0.36
L,REG404,15.10,37.85
L,REG405,15.10,0.20
L,REG407,15.10,0.28
L,REG404,15.20,38.12
L,REG404,15.30,37.85
L,REG405,15.30,-0.08
L,REG403,15.40,22.96
L,REG405,15.40,0.20
L,REG407,15.40,0.24
L,REG403,15.50,21.92
L,REG404,15.50,38.12
L,REG407,15.50,0.16
L,REG403,15.60,22.96
L,REG404,15.60,37.85
L,REG403,15.70,21.92
L,REG407,15.70,0.08
L,REG403,15.80,22.96
L,REG404,15.80,38.12
L,REG407,15.80,0.12
L,REG403,15.90,21.92
L,REG404,15.90,37.85
L,REG405,15.90,-0.08
L,REG407,15.90,0.08
L,REG405,16.00,0.20
L,REG407,16.00,0.28
L,REG407,16.10,0.32
L,REG403,16.20,22.96
L,REG405,16.20,-0.08
L,REG407,16.20,0.24
L,REG403,16.30,21.92
L,REG405,16.30,0.20
L,REG407,16.30,0.12
L,REG403,16.40,22.96
L,REG407,16.40,0.08
L,REG403,16.50,21.92
L,REG404,16.50,38.12
L,REG405,16.50,-0.08
L,REG407,16.50,0.12
L,REG404,16.70,37.85
L,REG405,16.70,0.20
L,REG407,16.70,0.00
L,REG403,16.90,22.96
L,REG403,17.00,21.92
L,REG407,17.00,0.04
L,REG407,17.10,0.00
L,REG403,17.20,22.96
L,REG404,17.20,38.12
L,REG405,17.20,-0.08
L,REG404,17.30,37.85
L,REG405,17.30,0.20
L,REG404,17.60,38.12
L,REG405,17.60,-0.08
L,REG403,17.70,21.92
L,REG404,17.70,37.85
L,REG405,17.70,0.20
L,REG403,17.80,22.96
L,REG407,17.80,0.04
L,REG403,17.90,21.92
L,REG404,17.90,38.12
L,REG405,17.90,-0.08
L,REG407,17.90,0.08
L,REG404,18.00,37.85
L,REG407,18.00,0.24
L,REG407,18.10,0.28
L,REG405,18.20,0.20
L,REG407,18.20,0.24
L,REG403,18.30,22.96
L,REG407,18.30,0.40
L,REG403,18.40,21.92
L,REG407,18.40,0.48
L,REG403,18.50,22.96
L,REG407,18.50,0.32
L,REG403,18.60,21.92
L,REG407,18.60,0.24
L,REG405,18.70,-0.08
L,REG403,18.80,22.96
L,REG405,18.80,0.20
L,REG407,18.80,0.16
L,REG403,18.90,21.92
L,REG403,19.00,22.96
L,REG403,19.10,21.92
L,REG407,19.10,0.04
L,REG407,19.30,0.00
L,REG403,19.40,22.96
L,REG405,19.40,-0.08
L,REG407,19.50,0.12
L,REG405,19.60,0.20
L,REG405,19.70,-0.08
L,REG407,19.70,0.08
L,REG403,19.80,21.92
L,REG405,19.80,0.20
L,REG407,19.80,0.04
L,REG407,19.90,0.12
L,REG403,20.00,22.96
L,REG407,20.10,0.08
L,REG407,20.20,0.12
L,REG403,20.30,21.92
L,REG407,20.30,0.24
L,REG403,20.40,22.96
L,REG407,20.40,0.28
L,REG403,20.50,21.92
L,REG407,20.60,0.24
L,REG403,20.70,22.96
L,REG407,20.70,0.16
L,REG407,20.80,0.12
L,REG407,20.90,0.16
L,REG407,21.00,0.12
L,REG405,21.10,-0.08
L,REG403,21.20,21.92
L,REG405,21.20,0.20
L,REG407,21.20,0.04
L,REG405,21.30,-0.08
L,REG407,21.30,0.00
L,REG405,21.40,0.20
L,REG403,21.50,22.96
L,REG403,21.60,21.92
L,REG407,21.60,0.04
L,REG403,21.70,22.96
L,REG404,21.70,38.12
L,REG405,21.70,-0.08
L,REG407,21.70,0.00
L,REG403,21.80,21.92
L,REG404,21.80,37.85
L,REG405,21.80,0.20
L,REG403,21.90,22.96
L,REG403,22.00,21.92
L,REG403,22.30,22.96
L,REG405,22.40,-0.08
L,REG407,22.40,0.04
L,REG403,22.50,21.92
L,REG405,22.50,0.20
L,REG407,22.70,0.00
L,REG403,22.80,22.96
L,REG407,22.80,0.08
L,REG403,22.90,21.92
L,REG405,22.90,-0.08
L,REG403,23.00,22.96
L,REG407,23.00,0.12
L,REG403,23.10,21.92
L,REG405,23.10,0.20
L,REG407,23.10,0.08
L,REG403,23.20,22.96
L,REG407,23.20,0.00
L,REG405,23.30,-0.08
L,REG405,23.40,0.20
L,REG405,23.60,-0.08
L,REG405,23.70,0.20
L,REG405,23.80,-0.08
L,REG407,23.90,0.04
L,REG403,24.00,21.92
L,REG405,24.00,0.20
L,REG407,24.00,0.00
L,REG405,24.20,-0.08
L,REG407,24.20,0.08
L,REG403,24.30,22.96
L,REG405,24.40,0.20
L,REG407,24.50,0.12
L,REG403,24.60,21.92
L,REG407,24.60,0.08
L,REG407,24.70,0.04
