H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5133
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:47:41
H,SpiderTimeZone,+1
H,SpiderUpTime,437
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776430
H,DriftTimeP3,25776430
H,DriftTimeP4,25776430
H,LogStartTime,2012-05-11 11:47:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,21.92
L,REG404,0.00,35.50
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.00
L,REG408,0.00,25.58
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG404,0.10,35.24
L,REG408,0.10,25.84
L,REG403,0.20,22.96
L,REG403,0.30,21.92
L,REG405,0.30,-0.08
L,REG404,0.40,35.50
L,REG405,0.40,0.20
L,REG404,0.50,35.24
L,REG408,0.50,25.58
L,REG405,0.60,-0.08
L,REG405,0.70,0.20
L,REG403,0.80,22.96
L,REG403,0.90,21.92
L,REG407,1.20,0.08
L,REG403,1.30,22.96
L,REG407,1.30,0.20
L,REG403,1.40,21.92
L,REG407,1.40,0.16
L,REG408,1.40,25.84
L,REG408,1.50,25.58
L,REG405,1.60,-0.08
L,REG407,1.60,0.12
L,REG403,1.70,22.96
L,REG404,1.70,35.50
L,REG405,1.70,0.20
L,REG407,1.70,0.00
L,REG403,1.80,21.92
L,REG404,1.80,35.24
L,REG407,1.80,0.04
L,REG407,1.90,0.00
L,REG408,2.00,25.84
L,REG408,2.10,25.58
L,REG407,2.20,0.04
L,REG403,2.40,22.96
L,REG407,2.40,0.00
L,REG403,2.50,21.92
L,REG407,2.50,0.04
L,REG407,2.60,0.12
L,REG407,2.70,0.04
L,REG403,2.80,22.96
L,REG407,2.80,0.00
L,REG403,3.00,21.92
L,REG403,3.20,22.96
L,REG408,3.20,25.84
L,REG408,3.30,25.58
L,REG405,3.40,-0.08
L,REG405,3.50,0.20
L,REG403,3.60,21.92
L,REG403,3.70,22.96
L,REG403,3.80,21.92
L,REG405,3.80,-0.08
L,REG405,3.90,0.20
L,REG403,4.00,22.96
L,REG403,4.10,21.92
L,REG403,4.20,22.96
L,REG407,4.20,0.04
L,REG407,4.30,0.00
L,REG408,4.30,25.84
L,REG403,4.40,21.92
L,REG407,4.40,0.16
L,REG403,4.50,22.96
L,REG405,4.50,-0.08
L,REG407,4.50,0.08
L,REG408,4.50,25.58
L,REG403,4.60,21.92
L,REG405,4.60,0.20
L,REG407,4.60,0.00
L,REG407,4.70,0.04
L,REG408,4.70,25.84
L,REG407,4.80,0.00
L,REG408,4.80,25.58
L,REG407,5.20,0.04
L,REG405,5.30,-0.08
L,REG407,5.30,0.00
L,REG403,5.40,22.96
L,REG405,5.40,0.20
L,REG403,5.50,21.92
L,REG407,5.50,0.04
L,REG403,5.60,22.96
L,REG407,5.60,0.00
L,REG403,5.70,21.92
L,REG407,5.70,0.04
L,REG407,5.80,0.00
L,REG408,6.00,25.84
L,REG407,6.10,0.04
L,REG408,6.10,25.58
L,REG407,6.20,0.00
L,REG403,6.30,22.96
L,REG403,6.40,21.92
L,REG405,6.40,-0.08
L,REG407,6.40,0.04
L,REG405,6.50,0.20
L,REG407,6.60,0.00
L,REG405,7.00,-0.08
L,REG403,7.10,22.96
L,REG405,7.10,0.20
L,REG403,7.30,21.92
L,REG408,7.30,25.84
L,REG403,7.40,22.96
L,REG408,7.40,25.58
L,REG403,7.50,21.92
L,REG403,7.90,22.96
L,REG407,8.00,0.08
L,REG403,8.10,21.92
L,REG403,8.20,22.96
L,REG405,8.20,-0.08
L,REG407,8.20,0.04
L,REG405,8.30,0.20
L,REG407,8.30,0.00
L,REG403,8.40,21.92
L,REG403,8.60,22.96
L,REG403,8.80,21.92
L,REG405,8.80,-0.08
L,REG405,8.90,0.20
L,REG403,9.00,22.96
L,REG403,9.10,21.92
L,REG407,9.10,0.08
L,REG407,9.20,0.04
L,REG403,9.30,22.96
L,REG407,9.30,0.00
L,REG403,9.70,21.92
L,REG407,9.70,0.08
L,REG407,9.80,0.16
L,REG407,9.90,0.12
L,REG407,10.10,0.04
L,REG407,10.20,0.12
L,REG407,10.30,0.04
L,REG403,10.40,22.96
L,REG407,10.40,0.00
L,REG403,10.50,21.92
L,REG407,10.50,0.08
L,REG403,10.60,22.96
L,REG407,10.60,0.04
L,REG403,10.70,21.92
L,REG403,10.80,22.96
L,REG405,10.80,-0.08
L,REG405,10.90,0.20
L,REG403,11.00,21.92
L,REG407,11.00,0.00
L,REG403,11.70,22.96
L,REG403,12.00,21.92
L,REG407,12.20,0.08
L,REG405,12.30,-0.08
L,REG407,12.30,0.20
L,REG408,12.30,25.84
L,REG407,12.40,0.12
L,REG408,12.40,25.58
L,REG405,12.50,0.20
L,REG407,12.50,0.04
L,REG407,12.60,0.00
L,REG403,12.90,22.96
L,REG403,13.00,21.92
L,REG405,13.00,-0.08
L,REG403,13.10,22.96
L,REG405,13.10,0.20
L,REG403,13.20,21.92
L,REG407,13.60,0.04
L,REG407,13.70,0.00
L,REG405,13.80,-0.08
L,REG405,13.90,0.20
L,REG403,14.00,22.96
L,REG408,14.00,25.84
L,REG408,14.10,25.58
L,REG403,14.20,21.92
L,REG403,14.40,22.96
L,REG403,14.50,21.92
L,REG403,14.80,22.96
L,REG407,14.80,0.04
L,REG408,14.80,25.84
L,REG408,14.90,25.58
L,REG407,15.00,0.00
L,REG403,15.10,21.92
L,REG407,15.20,0.04
L,REG407,15.30,0.08
L,REG403,15.40,22.96
L,REG407,15.40,0.04
L,REG403,15.50,21.92
L,REG407,15.50,0.00
L,REG408,15.50,25.84
L,REG408,15.60,25.58
L,REG403,15.70,22.96
L,REG407,15.70,0.04
L,REG403,15.80,21.92
L,REG407,15.90,0.00
L,REG405,16.00,-0.08
L,REG405,16.10,0.20
L,REG408,16.30,25.84
L,REG403,16.40,22.96
L,REG408,16.40,25.58
L,REG403,16.50,21.92
L,REG407,16.50,0.08
L,REG403,16.60,22.96
L,REG403,16.70,21.92
L,REG407,16.70,0.00
L,REG407,16.80,0.16
L,REG405,16.90,-0.08
L,REG407,16.90,0.04
L,REG405,17.00,0.20
L,REG407,17.00,0.00
L,REG407,17.10,0.04
L,REG407,17.20,0.16
L,REG407,17.30,0.12
L,REG405,17.40,-0.08
L,REG405,17.50,0.20
L,REG407,17.50,0.20
L,REG407,17.60,0.12
L,REG407,17.70,0.04
L,REG407,17.80,0.00
L,REG403,18.00,22.96
L,REG403,18.20,21.92
L,REG405,18.30,-0.08
L,REG405,18.40,0.20
L,REG407,18.60,0.12
L,REG407,18.70,0.08
L,REG405,18.80,-0.08
L,REG403,18.90,22.96
L,REG405,18.90,0.20
L,REG407,18.90,0.04
L,REG404,19.00,34.98
L,REG407,19.00,0.08
L,REG403,19.10,21.92
L,REG404,19.10,35.24
L,REG407,19.10,0.00
L,REG407,19.30,0.04
L,REG407,19.40,0.08
L,REG407,19.50,0.04
L,REG403,19.60,22.96
L,REG405,19.60,-0.08
L,REG403,19.70,21.92
L,REG405,19.70,0.20
L,REG407,19.70,0.00
L,REG403,19.80,22.96
L,REG403,19.90,21.92
L,REG404,20.00,34.98
L,REG403,20.10,22.96
L,REG404,20.10,35.24
L,REG407,20.20,0.08
L,REG403,20.30,21.92
L,REG407,20.30,0.12
L,REG403,20.40,22.96
L,REG405,20.40,-0.08
L,REG403,20.50,21.92
L,REG405,20.50,0.20
L,REG407,20.50,0.08
L,REG403,20.60,22.96
L,REG407,20.60,0.00
L,REG403,20.70,21.92
L,REG403,20.80,22.96
L,REG403,21.00,21.92
L,REG405,21.30,-0.08
L,REG405,21.40,0.20
L,REG404,21.60,34.98
L,REG404,21.70,35.24
L,REG407,22.10,0.08
L,REG407,22.20,0.12
L,REG407,22.30,0.08
L,REG403,22.40,22.96
L,REG407,22.40,0.04
L,REG403,22.50,21.92
L,REG404,22.50,34.98
L,REG407,22.50,0.12
L,REG404,22.60,35.24
L,REG407,22.60,0.04
L,REG407,22.70,0.00
L,REG405,22.80,-0.08
L,REG405,22.90,0.20
L,REG404,23.00,34.98
L,REG404,23.10,35.24
L,REG403,23.70,22.96
L,REG403,23.90,21.92
L,REG405,24.00,-0.08
L,REG405,24.20,0.20
L,REG407,24.30,0.04
L,REG407,24.40,0.00
L,REG403,24.70,22.96
L,REG403,24.80,21.92
L,REG404,25.00,34.98
L,REG404,25.10,35.24
L,REG407,25.20,0.04
L,REG404,25.30,34.98
L,REG404,25.40,35.24
L,REG407,25.40,0.00
L,REG403,25.50,22.96
L,REG403,25.60,21.92
L,REG405,25.70,-0.08
L,REG404,25.80,34.98
L,REG405,25.80,0.20
L,REG404,25.90,35.24
L,REG407,25.90,0.04
L,REG403,26.10,22.96
L,REG405,26.10,-0.08
L,REG407,26.10,0.00
L,REG403,26.20,21.92
L,REG404,26.20,34.98
L,REG405,26.20,0.20
L,REG404,26.30,35.24
L,REG407,26.40,0.04
L,REG405,26.50,-0.08
L,REG407,26.50,0.16
L,REG404,26.60,34.98
L,REG405,26.60,0.20
L,REG407,26.60,0.08
L,REG407,26.70,0.04
L,REG403,26.80,22.96
L,REG404,26.80,35.24
L,REG407,26.80,0.00
L,REG403,26.90,21.92
L,REG404,27.00,34.98
L,REG405,27.00,-0.08
L,REG404,27.10,35.24
L,REG405,27.10,0.20
L,REG404,27.30,34.98
L,REG403,27.40,22.96
L,REG404,27.40,35.24
L,REG403,27.50,21.92
L,REG403,27.70,22.96
L,REG404,27.70,34.98
L,REG403,27.80,21.92
L,REG404,27.80,35.24
L,REG403,27.90,22.96
L,REG405,27.90,-0.08
L,REG407,27.90,0.04
L,REG403,28.00,21.92
L,REG405,28.00,0.20
L,REG407,28.00,0.00
L,REG407,28.10,0.04
L,REG404,28.20,34.98
L,REG405,28.20,-0.08
L,REG407,28.20,0.12
L,REG404,28.30,35.24
L,REG405,28.30,0.20
L,REG407,28.30,0.04
L,REG407,28.40,0.12
L,REG407,28.50,0.08
L,REG403,28.60,22.96
L,REG403,28.70,21.92
L,REG405,28.70,-0.08
L,REG407,28.70,0.12
L,REG405,28.80,0.20
L,REG407,28.80,0.00
L,REG407,29.20,0.04
L,REG404,29.30,34.98
L,REG407,29.30,0.12
L,REG404,29.40,35.24
L,REG404,29.50,34.98
L,REG407,29.50,0.24
L,REG404,29.60,35.24
L,REG407,29.60,0.16
L,REG407,29.70,0.12
L,REG407,29.80,0.00
L,REG404,30.20,34.98
L,REG404,30.30,35.24
L,REG405,30.30,-0.08
L,REG407,30.40,0.12
L,REG404,30.50,34.98
L,REG405,30.50,0.20
L,REG407,30.50,0.04
L,REG404,30.60,35.24
L,REG407,30.60,0.00
L,REG407,30.70,0.04
L,REG403,30.80,22.96
L,REG404,30.80,34.98
L,REG405,30.80,-0.08
L,REG407,30.80,0.08
L,REG403,30.90,21.92
L,REG405,30.90,0.20
L,REG407,30.90,0.00
L,REG403,31.00,22.96
L,REG404,31.00,35.24
L,REG407,31.00,0.04
L,REG403,31.10,21.92
L,REG404,31.10,34.98
L,REG407,31.10,0.08
L,REG403,31.20,22.96
L,REG407,31.20,0.16
L,REG403,31.30,21.92
L,REG407,31.30,0.12
L,REG404,31.40,35.24
L,REG407,31.40,0.00
L,REG404,31.60,34.98
L,REG405,31.60,-0.08
L,REG407,31.60,0.08
L,REG404,31.70,35.24
L,REG405,31.70,0.20
L,REG404,31.80,34.98
L,REG407,31.80,0.04
L,REG404,31.90,35.24
L,REG407,31.90,0.00
L,REG404,32.00,34.98
L,REG403,32.20,22.96
L,REG403,32.30,21.92
L,REG404,32.30,35.24
L,REG405,32.30,-0.08
L,REG404,32.40,34.98
L,REG405,32.40,0.20
L,REG404,32.50,35.24
L,REG403,32.60,22.96
L,REG404,32.70,34.98
L,REG403,32.80,21.92
L,REG404,32.90,35.24
L,REG404,33.00,34.98
L,REG404,33.10,35.24
L,REG404,33.20,34.98
L,REG403,33.30,22.96
L,REG404,33.30,35.24
