H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5130
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:44:49
H,SpiderTimeZone,+1
H,SpiderUpTime,265
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776257
H,DriftTimeP3,25776258
H,DriftTimeP4,25776258
H,LogStartTime,2012-05-11 11:44:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,22.96
L,REG404,0.00,36.55
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.00
L,REG408,0.00,26.37
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG403,0.10,21.92
L,REG407,0.20,0.04
L,REG407,0.30,0.00
L,REG403,0.40,22.96
L,REG403,0.50,21.92
L,REG403,0.60,22.96
L,REG403,0.70,21.92
L,REG404,0.80,36.81
L,REG404,0.90,36.55
L,REG403,1.10,22.96
L,REG404,1.10,36.81
L,REG403,1.20,21.92
L,REG404,1.20,36.55
L,REG403,1.40,22.96
L,REG404,1.60,36.81
L,REG407,1.60,0.04
L,REG403,1.70,21.92
L,REG404,1.70,36.55
L,REG407,1.70,0.08
L,REG403,1.80,22.96
L,REG407,1.80,0.00
L,REG404,2.10,36.81
L,REG405,2.10,-0.08
L,REG403,2.20,21.92
L,REG404,2.20,36.55
L,REG405,2.20,0.20
L,REG407,2.20,0.04
L,REG407,2.50,0.00
L,REG405,2.70,-0.08
L,REG405,2.90,0.20
L,REG403,3.20,22.96
L,REG403,3.40,21.92
L,REG404,3.40,36.81
L,REG408,3.40,26.10
L,REG403,3.50,22.96
L,REG404,3.50,36.55
L,REG408,3.50,26.37
L,REG403,3.80,21.92
L,REG403,4.00,22.96
L,REG403,4.10,21.92
L,REG407,4.60,0.04
L,REG403,4.80,22.96
L,REG407,4.80,0.00
L,REG403,4.90,21.92
L,REG403,5.10,22.96
L,REG403,5.20,21.92
L,REG403,5.30,22.96
L,REG405,5.40,-0.08
L,REG405,5.50,0.20
L,REG407,5.50,0.08
L,REG403,5.60,21.92
L,REG407,5.60,0.00
L,REG403,5.80,22.96
L,REG407,5.80,0.04
L,REG403,5.90,21.92
L,REG407,5.90,0.00
L,REG403,6.20,22.96
L,REG407,6.20,0.20
L,REG403,6.30,21.92
L,REG407,6.40,0.28
L,REG405,6.50,-0.08
L,REG407,6.50,0.32
L,REG405,6.60,0.20
L,REG407,6.60,0.24
L,REG407,6.70,0.16
L,REG407,6.80,0.08
L,REG407,6.90,0.04
L,REG407,7.00,0.00
L,REG408,7.00,26.10
L,REG408,7.10,26.37
L,REG407,7.30,0.08
L,REG407,7.40,0.04
L,REG407,7.50,0.08
L,REG407,7.60,0.12
L,REG407,7.70,0.08
L,REG407,7.80,0.00
L,REG403,8.00,22.96
L,REG405,8.00,-0.08
L,REG407,8.00,0.08
L,REG403,8.10,21.92
L,REG405,8.10,0.20
L,REG407,8.10,0.04
L,REG403,8.30,22.96
L,REG403,8.40,21.92
L,REG407,8.40,0.12
L,REG407,8.50,0.08
L,REG405,8.60,-0.08
L,REG407,8.60,0.00
L,REG405,8.70,0.20
L,REG403,8.80,22.96
L,REG403,8.90,21.92
L,REG405,9.00,-0.08
L,REG403,9.10,22.96
L,REG405,9.10,0.20
L,REG407,9.10,0.04
L,REG403,9.30,21.92
L,REG407,9.30,0.08
L,REG407,9.50,0.16
L,REG407,9.60,0.28
L,REG403,9.70,22.96
L,REG407,9.70,0.32
L,REG403,9.80,21.92
L,REG408,9.80,26.10
L,REG407,9.90,0.28
L,REG408,9.90,26.37
L,REG407,10.10,0.24
L,REG403,10.20,22.96
L,REG407,10.20,0.20
L,REG408,10.20,26.10
L,REG403,10.30,21.92
L,REG407,10.30,0.28
L,REG408,10.30,26.37
L,REG403,10.50,22.96
L,REG407,10.50,0.16
L,REG408,10.50,26.10
L,REG403,10.60,21.92
L,REG405,10.60,-0.08
L,REG407,10.60,0.12
L,REG403,10.70,22.96
L,REG405,10.70,0.20
L,REG407,10.70,0.04
L,REG408,10.70,26.37
L,REG407,10.80,0.12
L,REG407,10.90,0.08
L,REG407,11.00,0.00
L,REG403,11.10,21.92
L,REG404,11.10,36.29
L,REG404,11.20,36.55
L,REG403,12.10,22.96
L,REG408,12.30,26.10
L,REG403,12.40,21.92
L,REG408,12.40,26.37
L,REG403,12.50,22.96
L,REG407,12.50,0.04
L,REG403,12.60,21.92
L,REG407,12.60,0.00
L,REG403,12.70,22.96
L,REG405,12.80,-0.08
L,REG403,12.90,21.92
L,REG405,12.90,0.20
L,REG407,13.00,0.12
L,REG407,13.10,0.04
L,REG408,13.10,26.10
L,REG407,13.20,0.08
L,REG408,13.20,26.37
L,REG403,13.30,22.96
L,REG407,13.30,0.16
L,REG407,13.40,0.12
L,REG403,13.50,21.92
L,REG407,13.50,0.08
L,REG403,13.60,22.96
L,REG407,13.60,0.04
L,REG408,13.60,26.10
L,REG403,13.70,21.92
L,REG405,13.70,-0.08
L,REG407,13.70,0.16
L,REG408,13.70,26.37
L,REG403,13.80,22.96
L,REG405,13.80,0.20
L,REG407,13.80,0.20
L,REG403,13.90,21.92
L,REG407,13.90,0.16
L,REG407,14.00,0.08
L,REG403,14.10,22.96
L,REG407,14.10,0.00
L,REG403,14.30,21.92
L,REG407,14.30,0.04
L,REG403,14.40,22.96
L,REG407,14.40,0.00
L,REG408,14.40,26.10
L,REG403,14.50,21.92
L,REG407,14.50,0.04
L,REG408,14.50,26.37
L,REG407,14.60,0.12
L,REG407,14.80,0.00
L,REG408,14.80,26.10
L,REG405,14.90,-0.08
L,REG408,14.90,26.37
L,REG405,15.00,0.20
L,REG407,15.00,0.04
L,REG403,15.10,22.96
L,REG403,15.20,21.92
L,REG407,15.20,0.08
L,REG403,15.30,22.96
L,REG405,15.30,-0.08
L,REG407,15.30,0.20
L,REG405,15.40,0.20
L,REG407,15.40,0.28
L,REG408,15.40,26.10
L,REG403,15.50,21.92
L,REG408,15.50,26.37
L,REG403,15.60,22.96
L,REG407,15.60,0.24
L,REG408,15.60,26.10
L,REG403,15.70,21.92
L,REG407,15.70,0.20
L,REG408,15.70,26.37
L,REG407,15.80,0.12
L,REG408,15.80,26.10
L,REG407,15.90,0.08
L,REG408,16.00,26.37
L,REG407,16.10,0.04
L,REG408,16.10,26.10
L,REG407,16.20,0.00
L,REG403,16.30,22.96
L,REG408,16.30,26.37
L,REG403,16.40,21.92
L,REG403,16.60,22.96
L,REG403,16.70,21.92
L,REG407,16.80,0.04
L,REG408,16.80,26.10
L,REG403,16.90,22.96
L,REG407,17.00,0.00
L,REG408,17.00,26.37
L,REG403,17.10,21.92
L,REG405,17.20,-0.08
L,REG408,17.20,26.10
L,REG405,17.30,0.20
L,REG408,17.50,26.37
L,REG407,17.60,0.12
L,REG403,17.70,22.96
L,REG407,17.70,0.20
L,REG403,17.80,21.92
L,REG407,17.80,0.12
L,REG408,17.80,26.10
L,REG407,17.90,0.00
L,REG408,17.90,26.37
L,REG403,18.20,22.96
L,REG403,18.30,21.92
L,REG404,18.30,36.29
L,REG404,18.40,36.55
L,REG405,18.40,-0.08
L,REG408,18.40,26.10
L,REG405,18.50,0.20
L,REG408,18.50,26.37
L,REG408,18.70,26.10
L,REG408,19.00,26.37
L,REG408,19.10,26.10
L,REG408,19.20,26.37
L,REG403,19.30,22.96
L,REG407,19.50,0.08
L,REG408,19.50,26.10
L,REG403,19.60,21.92
L,REG407,19.60,0.00
L,REG408,19.60,26.37
L,REG407,19.70,0.04
L,REG408,19.70,26.10
L,REG407,19.80,0.12
L,REG408,19.80,26.37
L,REG403,19.90,22.96
L,REG407,19.90,0.20
L,REG408,19.90,26.10
L,REG403,20.00,21.92
L,REG407,20.00,0.16
L,REG408,20.10,26.37
L,REG407,20.20,0.12
L,REG408,20.20,26.10
L,REG407,20.30,0.00
L,REG408,20.30,26.37
L,REG403,20.40,22.96
L,REG405,20.40,-0.08
L,REG407,20.40,0.08
L,REG408,20.40,26.10
L,REG403,20.50,21.92
L,REG405,20.50,0.20
L,REG407,20.50,0.00
L,REG408,20.50,26.37
L,REG404,20.60,36.29
L,REG404,20.70,36.55
L,REG408,20.70,26.10
L,REG405,20.90,-0.08
L,REG405,21.00,0.20
L,REG407,21.10,0.04
L,REG408,21.10,26.37
L,REG407,21.20,0.00
L,REG408,21.20,26.10
L,REG404,21.30,36.29
L,REG404,21.40,36.55
L,REG408,21.40,26.37
L,REG407,21.60,0.04
L,REG403,21.70,22.96
L,REG404,21.70,36.29
L,REG407,21.70,0.00
L,REG408,21.70,26.10
L,REG403,21.80,21.92
L,REG404,21.80,36.55
L,REG408,21.80,26.37
L,REG408,21.90,26.10
L,REG403,22.00,22.96
L,REG403,22.10,21.92
L,REG408,22.10,26.37
L,REG403,22.30,22.96
L,REG408,22.30,26.10
L,REG403,22.50,21.92
L,REG408,22.50,26.37
L,REG403,22.60,22.96
L,REG405,22.60,-0.08
L,REG408,22.60,26.10
L,REG403,22.70,21.92
L,REG405,22.70,0.20
L,REG407,22.70,0.12
L,REG404,22.90,36.29
L,REG407,22.90,0.00
L,REG403,23.00,22.96
L,REG404,23.00,36.55
L,REG403,23.10,21.92
L,REG403,23.20,22.96
L,REG403,23.30,21.92
L,REG407,23.30,0.04
L,REG408,23.30,26.37
L,REG408,23.40,26.10
L,REG405,23.60,-0.08
L,REG407,23.60,0.00
L,REG408,23.60,26.37
L,REG405,23.70,0.20
L,REG407,23.70,0.04
L,REG407,23.80,0.00
L,REG408,23.90,26.10
L,REG403,24.00,22.96
L,REG403,24.20,21.92
L,REG407,24.20,0.04
L,REG408,24.20,26.37
L,REG403,24.30,22.96
L,REG404,24.30,36.29
L,REG405,24.30,-0.08
L,REG407,24.30,0.20
L,REG408,24.30,26.10
L,REG404,24.40,36.55
L,REG405,24.40,0.20
L,REG407,24.40,0.28
L,REG405,24.50,-0.08
L,REG408,24.50,26.37
L,REG403,24.60,21.92
L,REG405,24.60,0.20
L,REG407,24.60,0.32
L,REG408,24.60,26.10
L,REG404,24.70,36.29
L,REG407,24.70,0.20
L,REG404,24.80,36.55
L,REG407,24.80,0.12
L,REG407,24.90,0.00
L,REG408,25.10,26.37
L,REG403,25.20,22.96
L,REG407,25.20,0.12
L,REG408,25.20,26.10
L,REG407,25.30,0.16
L,REG403,25.40,21.92
L,REG407,25.40,0.12
L,REG403,25.50,22.96
L,REG407,25.50,0.08
L,REG408,25.50,26.37
L,REG404,25.60,36.29
L,REG405,25.60,-0.08
L,REG408,25.60,26.10
L,REG404,25.70,36.55
L,REG405,25.70,0.20
L,REG403,25.80,21.92
L,REG407,25.80,0.00
L,REG403,25.90,22.96
L,REG407,26.00,0.08
L,REG407,26.10,0.12
L,REG403,26.20,21.92
L,REG407,26.20,0.20
L,REG404,26.30,36.29
L,REG404,26.40,36.55
L,REG405,26.50,-0.08
L,REG407,26.50,0.32
L,REG408,26.50,26.37
L,REG404,26.60,36.29
L,REG405,26.60,0.20
L,REG407,26.60,0.28
L,REG408,26.60,26.10
L,REG404,26.70,36.55
L,REG403,26.80,22.96
L,REG404,26.80,36.29
L,REG408,26.80,26.37
L,REG403,26.90,21.92
L,REG404,26.90,36.55
L,REG407,26.90,0.20
L,REG408,26.90,26.10
L,REG407,27.00,0.16
L,REG403,27.10,22.96
L,REG407,27.10,0.12
L,REG403,27.20,21.92
L,REG404,27.20,36.29
L,REG407,27.20,0.08
L,REG403,27.30,22.96
L,REG404,27.30,36.55
L,REG407,27.30,0.00
L,REG403,27.40,21.92
L,REG404,27.40,36.29
L,REG403,27.50,22.96
L,REG404,27.50,36.55
L,REG403,27.60,21.92
L,REG404,27.60,36.29
L,REG404,27.70,36.55
L,REG407,27.70,0.04
L,REG407,27.80,0.00
L,REG403,27.90,22.96
L,REG403,28.00,21.92
L,REG404,28.00,36.29
L,REG403,28.10,22.96
L,REG404,28.10,36.55
L,REG403,28.20,21.92
L,REG407,28.20,0.04
L,REG404,28.30,36.29
