H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5132
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:46:41
H,SpiderTimeZone,+1
H,SpiderUpTime,377
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776370
H,DriftTimeP3,25776370
H,DriftTimeP4,25776370
H,LogStartTime,2012-05-11 11:46:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,21.92
L,REG404,0.00,35.77
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.04
L,REG408,0.00,25.84
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG407,0.10,0.12
L,REG407,0.30,0.00
L,REG403,0.40,22.96
L,REG407,0.40,0.08
L,REG403,0.50,21.92
L,REG407,0.50,0.16
L,REG403,0.60,22.96
L,REG407,0.60,0.20
L,REG403,0.70,21.92
L,REG407,0.70,0.24
L,REG403,0.80,22.96
L,REG407,0.80,0.28
L,REG407,0.90,0.32
L,REG403,1.00,21.92
L,REG407,1.00,0.24
L,REG407,1.10,0.16
L,REG407,1.20,0.12
L,REG407,1.30,0.04
L,REG403,1.40,22.96
L,REG407,1.40,0.00
L,REG403,1.60,21.92
L,REG403,1.70,22.96
L,REG405,1.70,-0.08
L,REG403,1.80,21.92
L,REG405,1.80,0.20
L,REG403,1.90,22.96
L,REG407,1.90,0.12
L,REG403,2.00,21.92
L,REG403,2.10,22.96
L,REG407,2.10,0.04
L,REG403,2.20,21.92
L,REG407,2.20,0.00
L,REG405,2.30,-0.08
L,REG405,2.40,0.20
L,REG405,2.50,-0.08
L,REG405,2.60,0.20
L,REG403,2.70,22.96
L,REG403,2.90,21.92
L,REG407,3.20,0.04
L,REG403,3.30,22.96
L,REG407,3.30,0.00
L,REG403,3.40,21.92
L,REG403,3.60,22.96
L,REG403,3.70,21.92
L,REG407,3.90,0.08
L,REG407,4.00,0.12
L,REG405,4.10,-0.08
L,REG407,4.10,0.24
L,REG403,4.20,22.96
L,REG405,4.20,0.20
L,REG407,4.20,0.16
L,REG403,4.30,21.92
L,REG407,4.30,0.08
L,REG403,4.40,22.96
L,REG407,4.50,0.20
L,REG403,4.60,21.92
L,REG407,4.60,0.12
L,REG407,4.70,0.04
L,REG407,4.80,0.12
L,REG403,4.90,22.96
L,REG407,4.90,0.16
L,REG403,5.00,21.92
L,REG407,5.00,0.12
L,REG407,5.10,0.16
L,REG403,5.30,22.96
L,REG407,5.30,0.12
L,REG407,5.40,0.24
L,REG403,5.60,21.92
L,REG407,5.60,0.32
L,REG403,5.70,22.96
L,REG403,5.80,21.92
L,REG407,5.80,0.24
L,REG407,5.90,0.28
L,REG403,6.00,22.96
L,REG405,6.00,-0.08
L,REG407,6.00,0.20
L,REG405,6.10,0.20
L,REG407,6.10,0.12
L,REG407,6.20,0.04
L,REG403,6.30,21.92
L,REG403,6.40,22.96
L,REG407,6.40,0.16
L,REG403,6.50,21.92
L,REG407,6.50,0.20
L,REG407,6.60,0.16
L,REG407,6.70,0.12
L,REG403,6.80,22.96
L,REG407,6.80,0.04
L,REG403,7.00,21.92
L,REG405,7.00,-0.08
L,REG407,7.00,0.00
L,REG405,7.10,0.20
L,REG407,7.10,0.04
L,REG403,7.30,22.96
L,REG407,7.30,0.00
L,REG403,7.40,21.92
L,REG407,7.40,0.04
L,REG403,7.50,22.96
L,REG405,7.50,-0.08
L,REG407,7.50,0.12
L,REG403,7.60,21.92
L,REG405,7.60,0.20
L,REG407,7.60,0.20
L,REG407,7.70,0.12
L,REG407,7.80,0.28
L,REG403,7.90,22.96
L,REG403,8.00,21.92
L,REG407,8.00,0.20
L,REG407,8.10,0.12
L,REG403,8.20,22.96
L,REG407,8.20,0.08
L,REG405,8.30,-0.08
L,REG407,8.30,0.04
L,REG404,8.40,35.50
L,REG405,8.40,0.20
L,REG407,8.40,0.16
L,REG403,8.50,21.92
L,REG404,8.50,35.77
L,REG407,8.60,0.08
L,REG407,8.70,0.00
L,REG404,8.80,35.50
L,REG404,8.90,35.77
L,REG403,9.30,22.96
L,REG403,9.40,21.92
L,REG405,9.40,-0.08
L,REG405,9.50,0.20
L,REG403,9.60,22.96
L,REG403,9.70,21.92
L,REG403,9.80,22.96
L,REG403,9.90,21.92
L,REG404,9.90,35.50
L,REG404,10.00,35.77
L,REG403,10.30,22.96
L,REG405,10.40,-0.08
L,REG403,10.50,21.92
L,REG405,10.50,0.20
L,REG407,10.80,0.04
L,REG407,10.90,0.12
L,REG407,11.00,0.20
L,REG407,11.10,0.12
L,REG407,11.20,0.04
L,REG407,11.30,0.00
L,REG403,11.90,22.96
L,REG407,12.10,0.12
L,REG407,12.20,0.00
L,REG403,12.40,21.92
L,REG404,12.40,35.50
L,REG405,12.40,-0.08
L,REG403,12.50,22.96
L,REG405,12.50,0.20
L,REG403,12.60,21.92
L,REG404,12.70,35.77
L,REG405,13.00,-0.08
L,REG405,13.10,0.20
L,REG403,13.40,22.96
L,REG407,13.40,0.04
L,REG403,13.50,21.92
L,REG405,13.60,-0.08
L,REG407,13.60,0.00
L,REG403,13.70,22.96
L,REG403,13.80,21.92
L,REG405,13.80,0.20
L,REG407,13.90,0.04
L,REG403,14.00,22.96
L,REG407,14.00,0.00
L,REG407,14.10,0.12
L,REG403,14.20,21.92
L,REG407,14.20,0.20
L,REG407,14.30,0.28
L,REG403,14.40,22.96
L,REG405,14.40,-0.08
L,REG405,14.50,0.20
L,REG407,14.50,0.24
L,REG403,14.60,21.92
L,REG403,14.70,22.96
L,REG407,14.70,0.32
L,REG403,14.80,21.92
L,REG407,14.80,0.28
L,REG407,14.90,0.24
L,REG407,15.00,0.12
L,REG407,15.10,0.08
L,REG403,15.20,22.96
L,REG407,15.20,0.00
L,REG403,15.30,21.92
L,REG404,15.50,35.50
L,REG404,15.60,35.77
L,REG403,15.70,22.96
L,REG403,15.80,21.92
L,REG403,15.90,22.96
L,REG403,16.00,21.92
L,REG405,16.10,-0.08
L,REG403,16.20,22.96
L,REG405,16.20,0.20
L,REG403,16.30,21.92
L,REG404,16.30,35.50
L,REG404,16.40,35.77
L,REG407,16.40,0.08
L,REG404,16.50,35.50
L,REG404,16.60,35.77
L,REG407,16.60,0.00
L,REG403,16.70,22.96
L,REG403,16.80,21.92
L,REG405,16.80,-0.08
L,REG405,16.90,0.20
L,REG404,17.00,35.50
L,REG403,17.10,22.96
L,REG405,17.10,-0.08
L,REG404,17.20,35.77
L,REG405,17.20,0.20
L,REG404,17.30,35.50
L,REG407,17.30,0.04
L,REG403,17.40,21.92
L,REG404,17.40,35.77
L,REG405,17.40,-0.08
L,REG407,17.40,0.16
L,REG405,17.50,0.20
L,REG407,17.50,0.28
L,REG407,17.60,0.32
L,REG407,17.70,0.20
L,REG404,17.80,35.50
L,REG407,17.80,0.12
L,REG404,17.90,35.77
L,REG407,17.90,0.04
L,REG404,18.00,35.50
L,REG407,18.00,0.00
L,REG403,18.10,22.96
L,REG407,18.10,0.08
L,REG403,18.20,21.92
L,REG407,18.30,0.00
L,REG404,18.50,35.77
L,REG404,18.60,35.50
L,REG403,18.70,22.96
L,REG403,18.80,21.92
L,REG404,18.90,35.77
L,REG407,18.90,0.04
L,REG404,19.00,35.50
L,REG407,19.00,0.00
L,REG404,19.10,35.77
L,REG407,19.10,0.04
L,REG404,19.20,35.50
L,REG407,19.20,0.00
L,REG404,19.30,35.77
L,REG403,19.40,22.96
L,REG404,19.40,35.50
L,REG403,19.60,21.92
L,REG407,19.60,0.08
L,REG407,19.70,0.12
L,REG403,19.80,22.96
L,REG404,19.80,35.77
L,REG405,19.80,-0.08
L,REG407,19.80,0.04
L,REG404,19.90,35.50
L,REG405,19.90,0.20
L,REG407,19.90,0.16
L,REG404,20.00,35.77
L,REG407,20.00,0.12
L,REG403,20.10,21.92
L,REG407,20.10,0.08
L,REG404,20.20,35.50
L,REG407,20.20,0.00
L,REG404,20.40,35.77
L,REG403,20.50,22.96
L,REG405,20.50,-0.08
L,REG403,20.60,21.92
L,REG405,20.60,0.20
L,REG404,20.70,35.50
L,REG405,21.00,-0.08
L,REG407,21.00,0.04
L,REG404,21.10,35.77
L,REG405,21.10,0.20
L,REG407,21.10,0.00
L,REG404,21.20,35.50
L,REG407,21.30,0.08
L,REG407,21.50,0.04
L,REG403,21.60,22.96
L,REG405,21.60,-0.08
L,REG407,21.60,0.00
L,REG403,21.70,21.92
L,REG405,21.70,0.20
L,REG405,21.80,-0.08
L,REG405,21.90,0.20
L,REG405,22.20,-0.08
L,REG404,22.40,35.77
L,REG405,22.40,0.20
L,REG404,22.50,35.50
L,REG404,22.60,35.77
L,REG407,22.60,0.12
L,REG404,22.70,35.50
L,REG407,22.80,0.16
L,REG404,22.90,35.77
L,REG407,22.90,0.24
L,REG403,23.00,22.96
L,REG404,23.00,35.50
L,REG403,23.20,21.92
L,REG404,23.20,35.77
L,REG407,23.20,0.20
L,REG403,23.30,22.96
L,REG404,23.30,35.50
L,REG407,23.30,0.12
L,REG407,23.50,0.08
L,REG403,23.60,21.92
L,REG407,23.60,0.04
L,REG407,23.70,0.00
L,REG407,24.60,0.04
L,REG407,24.70,0.00
L,REG407,24.80,0.08
L,REG407,24.90,0.12
L,REG403,25.00,22.96
L,REG407,25.00,0.08
L,REG407,25.10,0.04
L,REG403,25.20,21.92
L,REG407,25.20,0.00
L,REG403,25.40,22.96
L,REG403,25.50,21.92
L,REG403,25.60,22.96
L,REG403,25.70,21.92
L,REG403,25.80,22.96
L,REG403,26.00,21.92
L,REG403,26.50,22.96
L,REG403,26.60,21.92
L,REG403,26.80,22.96
L,REG403,26.90,21.92
L,REG403,27.40,22.96
L,REG403,27.50,21.92
L,REG403,27.60,22.96
L,REG403,27.70,21.92
L,REG407,28.00,0.08
L,REG407,28.10,0.16
L,REG403,28.20,22.96
L,REG407,28.20,0.12
L,REG403,28.30,21.92
L,REG407,28.30,0.00
L,REG407,28.50,0.08
L,REG407,28.60,0.12
L,REG407,28.70,0.16
L,REG403,28.80,22.96
L,REG407,28.80,0.08
L,REG407,28.90,0.00
L,REG403,29.00,21.92
L,REG407,29.10,0.04
L,REG403,29.20,22.96
L,REG403,29.30,21.92
L,REG407,29.30,0.16
L,REG407,29.40,0.12
L,REG407,29.50,0.08
L,REG407,29.60,0.00
L,REG407,29.80,0.04
L,REG407,29.90,0.00
L,REG403,30.00,22.96
L,REG405,30.00,-0.08
L,REG403,30.10,21.92
L,REG405,30.10,0.20
L,REG403,30.40,22.96
L,REG403,30.50,21.92
L,REG407,30.50,0.08
L,REG407,30.60,0.12
L,REG403,30.70,22.96
L,REG407,30.70,0.08
L,REG403,30.80,21.92
L,REG407,30.80,0.00
L,REG403,31.00,22.96
L,REG403,31.20,21.92
L,REG403,31.30,22.96
L,REG405,31.30,-0.08
L,REG403,31.40,21.92
L,REG405,31.40,0.20
L,REG403,31.50,22.96
L,REG403,31.60,21.92
L,REG405,31.60,-0.08
L,REG407,31.60,0.04
L,REG405,31.70,0.20
L,REG407,31.70,0.00
L,REG403,32.00,22.96
L,REG403,32.10,21.92
L,REG405,32.10,-0.08
L,REG405,32.20,0.20
L,REG403,32.50,22.96
L,REG405,32.60,-0.08
L,REG408,32.60,25.58
L,REG405,32.70,0.20
L,REG408,32.70,25.84
L,REG403,32.80,21.92
L,REG405,32.80,-0.08
L,REG405,32.90,0.20
L,REG403,33.10,22.96
L,REG403,33.20,21.92
L,REG407,33.30,0.08
L,REG407,33.40,0.00
L,REG407,33.50,0.04
L,REG407,33.60,0.00
L,REG403,33.70,22.96
L,REG403,33.80,21.92
L,REG403,33.90,22.96
L,REG407,34.00,0.04
L,REG403,34.10,21.92
L,REG407,34.10,0.00
L,REG407,34.20,0.04
L,REG403,34.30,22.96
L,REG407,34.30,0.08
L,REG407,34.40,0.00
L,REG403,34.50,21.92
L,REG405,34.50,-0.08
L,REG407,34.50,0.04
L,REG405,34.60,0.20
L,REG407,34.60,0.00
