H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5131
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:45:41
H,SpiderTimeZone,+1
H,SpiderUpTime,317
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776310
H,DriftTimeP3,25776310
H,DriftTimeP4,25776310
H,LogStartTime,2012-05-11 11:45:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,21.92
L,REG404,0.00,36.29
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.00
L,REG408,0.00,26.10
L,REG409,0.00,0.00
L,REG410,0.00,36.00
L,REG407,0.20,0.12
L,REG403,0.30,22.96
L,REG404,0.30,36.03
L,REG403,0.40,21.92
L,REG404,0.40,36.29
L,REG407,0.50,0.20
L,REG407,0.60,0.24
L,REG404,0.70,36.03
L,REG407,0.70,0.16
L,REG403,0.80,22.96
L,REG404,0.80,36.29
L,REG407,0.80,0.12
L,REG407,0.90,0.08
L,REG403,1.00,21.92
L,REG407,1.10,0.00
L,REG407,1.20,0.12
L,REG403,1.30,22.96
L,REG407,1.30,0.24
L,REG403,1.40,21.92
L,REG407,1.40,0.16
L,REG404,1.50,36.03
L,REG407,1.50,0.08
L,REG404,1.60,36.29
L,REG403,1.70,22.96
L,REG407,1.70,0.04
L,REG403,1.80,21.92
L,REG407,1.80,0.08
L,REG405,1.90,-0.08
L,REG407,1.90,0.12
L,REG405,2.00,0.20
L,REG404,2.10,36.03
L,REG407,2.10,0.04
L,REG404,2.20,36.29
L,REG407,2.20,0.00
L,REG403,2.30,22.96
L,REG405,2.30,-0.08
L,REG403,2.40,21.92
L,REG405,2.40,0.20
L,REG407,2.60,0.04
L,REG407,2.70,0.00
L,REG403,3.20,22.96
L,REG407,3.20,0.04
L,REG403,3.30,21.92
L,REG407,3.30,0.00
L,REG403,3.40,22.96
L,REG407,3.40,0.04
L,REG403,3.50,21.92
L,REG404,3.50,36.03
L,REG404,3.60,36.29
L,REG407,3.60,0.08
L,REG407,3.70,0.04
L,REG407,3.80,0.12
L,REG403,3.90,22.96
L,REG407,3.90,0.16
L,REG403,4.00,21.92
L,REG407,4.00,0.12
L,REG403,4.10,22.96
L,REG403,4.20,21.92
L,REG407,4.20,0.08
L,REG403,4.30,22.96
L,REG404,4.30,36.03
L,REG405,4.30,-0.08
L,REG407,4.30,0.12
L,REG404,4.40,36.29
L,REG405,4.40,0.20
L,REG407,4.40,0.20
L,REG403,4.50,21.92
L,REG404,4.50,36.03
L,REG407,4.50,0.16
L,REG403,4.60,22.96
L,REG405,4.60,-0.08
L,REG407,4.60,0.12
L,REG403,4.70,21.92
L,REG404,4.70,36.29
L,REG405,4.70,0.20
L,REG407,4.80,0.00
L,REG404,5.00,36.03
L,REG404,5.20,36.29
L,REG407,5.30,0.12
L,REG403,5.50,22.96
L,REG407,5.50,0.08
L,REG407,5.60,0.00
L,REG403,5.70,21.92
L,REG407,5.70,0.08
L,REG405,5.80,-0.08
L,REG407,5.80,0.00
L,REG403,5.90,22.96
L,REG405,5.90,0.20
L,REG403,6.10,21.92
L,REG407,6.20,0.16
L,REG404,6.30,36.03
L,REG407,6.30,0.12
L,REG407,6.40,0.08
L,REG407,6.50,0.04
L,REG404,6.60,36.29
L,REG407,6.60,0.16
L,REG403,6.70,22.96
L,REG404,6.70,36.03
L,REG404,6.80,36.29
L,REG407,6.80,0.12
L,REG403,6.90,21.92
L,REG404,6.90,36.03
L,REG407,6.90,0.08
L,REG403,7.00,22.96
L,REG407,7.00,0.04
L,REG403,7.10,21.92
L,REG404,7.10,36.29
L,REG407,7.10,0.08
L,REG403,7.20,22.96
L,REG403,7.30,21.92
L,REG407,7.30,0.20
L,REG403,7.40,22.96
L,REG407,7.40,0.24
L,REG407,7.60,0.16
L,REG403,7.70,21.92
L,REG407,7.70,0.24
L,REG404,7.80,36.03
L,REG407,7.90,0.20
L,REG407,8.00,0.12
L,REG407,8.10,0.04
L,REG407,8.20,0.00
L,REG404,8.30,36.29
L,REG403,8.50,22.96
L,REG403,8.60,21.92
L,REG404,8.60,36.03
L,REG405,8.70,-0.08
L,REG404,8.80,36.29
L,REG405,8.80,0.20
L,REG404,8.90,36.03
L,REG403,9.10,22.96
L,REG404,9.40,36.29
L,REG403,9.60,21.92
L,REG404,9.60,36.03
L,REG403,9.90,22.96
L,REG407,9.90,0.04
L,REG403,10.00,21.92
L,REG407,10.00,0.00
L,REG403,10.30,22.96
L,REG404,10.30,36.29
L,REG403,10.40,21.92
L,REG404,10.40,36.03
L,REG403,10.50,22.96
L,REG403,10.60,21.92
L,REG404,10.70,36.29
L,REG404,10.80,36.03
L,REG404,10.90,36.29
L,REG404,11.00,36.03
L,REG403,11.30,22.96
L,REG405,11.30,-0.08
L,REG407,11.30,0.04
L,REG405,11.40,0.20
L,REG407,11.40,0.00
L,REG403,11.50,21.92
L,REG407,11.50,0.04
L,REG403,11.60,22.96
L,REG407,11.60,0.00
L,REG403,11.70,21.92
L,REG403,11.80,22.96
L,REG403,11.90,21.92
L,REG407,11.90,0.08
L,REG407,12.00,0.04
L,REG404,12.20,36.29
L,REG407,12.20,0.12
L,REG403,12.30,22.96
L,REG404,12.30,36.03
L,REG407,12.30,0.16
L,REG403,12.40,21.92
L,REG407,12.40,0.12
L,REG407,12.50,0.00
L,REG403,12.70,22.96
L,REG407,12.70,0.04
L,REG403,12.80,21.92
L,REG403,12.90,22.96
L,REG407,12.90,0.00
L,REG403,13.00,21.92
L,REG407,13.00,0.04
L,REG407,13.10,0.00
L,REG403,13.20,22.96
L,REG403,13.30,21.92
L,REG405,13.40,-0.08
L,REG403,13.50,22.96
L,REG405,13.50,0.20
L,REG403,13.70,21.92
L,REG405,13.70,-0.08
L,REG403,13.80,22.96
L,REG405,13.80,0.20
L,REG405,13.90,-0.08
L,REG403,14.00,21.92
L,REG405,14.00,0.20
L,REG407,14.00,0.04
L,REG407,14.10,0.00
L,REG407,14.50,0.08
L,REG407,14.70,0.00
L,REG407,15.00,0.08
L,REG407,15.10,0.04
L,REG403,15.20,22.96
L,REG405,15.20,-0.08
L,REG403,15.30,21.92
L,REG405,15.30,0.20
L,REG407,15.30,0.00
L,REG403,15.40,22.96
L,REG405,15.40,-0.08
L,REG405,15.50,0.20
L,REG403,15.60,21.92
L,REG403,15.90,22.96
L,REG403,16.00,21.92
L,REG403,16.10,22.96
L,REG403,16.20,21.92
L,REG403,16.30,22.96
L,REG405,16.50,-0.08
L,REG407,16.50,0.04
L,REG403,16.60,21.92
L,REG405,16.60,0.20
L,REG407,16.60,0.12
L,REG407,16.80,0.08
L,REG403,16.90,22.96
L,REG407,16.90,0.04
L,REG403,17.00,21.92
L,REG407,17.10,0.00
L,REG403,17.60,22.96
L,REG403,17.70,21.92
L,REG403,17.80,22.96
L,REG407,17.80,0.04
L,REG407,17.90,0.00
L,REG403,18.00,21.92
L,REG405,18.00,-0.08
L,REG407,18.00,0.04
L,REG403,18.10,22.96
L,REG405,18.10,0.20
L,REG403,18.20,21.92
L,REG405,18.20,-0.08
L,REG405,18.30,0.20
L,REG407,18.30,0.00
L,REG407,18.40,0.08
L,REG407,18.50,0.00
L,REG403,18.80,22.96
L,REG403,18.90,21.92
L,REG407,19.10,0.04
L,REG405,19.20,-0.08
L,REG407,19.20,0.12
L,REG403,19.30,22.96
L,REG405,19.30,0.20
L,REG403,19.40,21.92
L,REG407,19.40,0.08
L,REG407,19.50,0.04
L,REG407,19.60,0.00
L,REG403,20.00,22.96
L,REG403,20.10,21.92
L,REG403,20.40,22.96
L,REG403,20.50,21.92
L,REG403,20.90,22.96
L,REG407,20.90,0.04
L,REG407,21.00,0.00
L,REG403,21.20,21.92
L,REG403,21.50,22.96
L,REG407,21.50,0.08
L,REG403,21.60,21.92
L,REG405,21.60,-0.08
L,REG407,21.60,0.16
L,REG405,21.70,0.20
L,REG407,21.70,0.24
L,REG407,21.90,0.12
L,REG403,22.00,22.96
L,REG407,22.00,0.04
L,REG403,22.10,21.92
L,REG407,22.10,0.08
L,REG407,22.20,0.12
L,REG403,22.30,22.96
L,REG407,22.30,0.08
L,REG407,22.40,0.00
L,REG403,22.50,21.92
L,REG407,22.70,0.04
L,REG407,22.80,0.08
L,REG407,23.00,0.16
L,REG407,23.20,0.12
L,REG407,23.30,0.24
L,REG405,23.40,-0.08
L,REG407,23.40,0.12
L,REG408,23.40,25.84
L,REG403,23.50,22.96
L,REG407,23.50,0.00
L,REG408,23.50,26.10
L,REG403,23.60,21.92
L,REG405,23.60,0.20
L,REG403,23.70,22.96
L,REG405,23.70,-0.08
L,REG405,23.80,0.20
L,REG403,23.90,21.92
L,REG407,23.90,0.08
L,REG407,24.00,0.12
L,REG407,24.20,0.08
L,REG407,24.30,0.04
L,REG407,24.40,0.00
L,REG408,24.40,25.84
L,REG408,24.50,26.10
L,REG407,24.90,0.04
L,REG403,25.00,22.96
L,REG407,25.00,0.00
L,REG403,25.10,21.92
L,REG407,25.10,0.04
L,REG403,25.40,22.96
L,REG403,25.50,21.92
L,REG407,25.50,0.00
L,REG407,25.60,0.08
L,REG407,25.80,0.04
L,REG407,25.90,0.00
L,REG404,26.10,35.77
L,REG404,26.20,36.03
L,REG408,26.20,25.84
L,REG408,26.30,26.10
L,REG403,26.40,22.96
L,REG403,26.50,21.92
L,REG403,26.60,22.96
L,REG405,26.60,-0.08
L,REG403,26.70,21.92
L,REG405,26.70,0.20
L,REG407,26.80,0.04
L,REG407,26.90,0.00
L,REG408,27.00,25.84
L,REG408,27.10,26.10
L,REG404,27.20,35.77
L,REG403,27.30,22.96
L,REG403,27.40,21.92
L,REG404,27.40,36.03
L,REG407,27.40,0.08
L,REG403,27.50,22.96
L,REG407,27.50,0.00
L,REG403,27.70,21.92
L,REG403,27.90,22.96
L,REG408,27.90,25.84
L,REG403,28.00,21.92
L,REG408,28.00,26.10
L,REG403,28.40,22.96
L,REG407,28.40,0.12
L,REG403,28.50,21.92
L,REG405,28.60,-0.08
L,REG407,28.60,0.00
L,REG405,28.70,0.20
L,REG407,28.80,0.08
L,REG407,28.90,0.04
L,REG407,29.00,0.12
L,REG403,29.20,22.96
L,REG407,29.20,0.08
L,REG403,29.30,21.92
L,REG403,29.40,22.96
L,REG407,29.40,0.00
L,REG403,29.50,21.92
L,REG407,29.50,0.04
L,REG407,29.60,0.00
L,REG408,29.60,25.84
L,REG405,29.70,-0.08
L,REG405,29.80,0.20
L,REG408,29.80,26.10
L,REG403,29.90,22.96
L,REG403,30.00,21.92
L,REG408,30.20,25.84
L,REG403,30.30,22.96
L,REG408,30.30,26.10
L,REG403,30.40,21.92
L,REG407,30.40,0.04
L,REG405,30.50,-0.08
L,REG407,30.50,0.16
L,REG405,30.60,0.20
L,REG407,30.60,0.20
L,REG407,30.70,0.16
L,REG403,30.80,22.96
L,REG404,30.80,35.77
L,REG405,30.80,-0.08
L,REG407,30.80,0.08
L,REG403,30.90,21.92
L,REG404,30.90,36.03
L,REG405,30.90,0.20
L,REG407,31.00,0.04
L,REG408,31.00,25.84
L,REG404,31.10,35.77
L,REG407,31.10,0.00
L,REG408,31.10,26.10
L,REG404,31.20,36.03
L,REG407,31.30,0.04
L,REG407,31.40,0.00
L,REG405,31.50,-0.08
L,REG405,31.60,0.20
L,REG403,31.80,22.96
L,REG407,31.90,0.04
L,REG407,32.00,0.00
L,REG403,32.10,21.92
L,REG405,32.20,-0.08
L,REG408,32.20,25.84
L,REG403,32.30,22.96
L,REG404,32.30,35.77
L,REG405,32.30,0.20
L,REG408,32.30,26.10
L,REG404,32.40,36.03
L,REG407,32.40,0.12
L,REG403,32.50,21.92
L,REG404,32.50,35.77
L,REG407,32.50,0.16
L,REG404,32.60,36.03
L,REG407,32.60,0.12
L,REG403,32.70,22.96
L,REG407,32.70,0.00
L,REG403,32.80,21.92
L,REG403,32.90,22.96
L,REG407,33.00,0.08
L,REG403,33.10,21.92
L,REG407,33.10,0.20
