H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5129
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:44:15
H,SpiderTimeZone,+1
H,SpiderUpTime,231
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776224
H,DriftTimeP3,25776224
H,DriftTimeP4,25776224
H,LogStartTime,2012-05-11 11:43:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,21.92
L,REG404,0.00,37.07
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.04
L,REG408,0.00,26.37
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG407,0.10,0.16
L,REG407,0.20,0.12
L,REG407,0.40,0.08
L,REG403,0.50,22.96
L,REG407,0.50,0.04
L,REG408,0.50,26.63
L,REG405,0.60,-0.08
L,REG407,0.60,0.00
L,REG408,0.60,26.37
L,REG405,0.70,0.20
L,REG407,0.70,0.04
L,REG403,0.90,21.92
L,REG407,0.90,0.00
L,REG403,1.00,22.96
L,REG408,1.10,26.63
L,REG403,1.20,21.92
L,REG405,1.20,-0.08
L,REG403,1.30,22.96
L,REG405,1.30,0.20
L,REG408,1.30,26.37
L,REG403,1.40,21.92
L,REG408,1.50,26.63
L,REG407,1.60,0.08
L,REG408,1.60,26.37
L,REG407,1.80,0.00
L,REG407,1.90,0.04
L,REG408,1.90,26.63
L,REG404,2.00,36.81
L,REG407,2.00,0.00
L,REG403,2.10,22.96
L,REG404,2.10,37.07
L,REG408,2.10,26.37
L,REG403,2.30,21.92
L,REG408,2.30,26.63
L,REG408,2.40,26.37
L,REG405,2.50,-0.08
L,REG407,2.50,0.08
L,REG403,2.60,22.96
L,REG405,2.60,0.20
L,REG407,2.60,0.12
L,REG405,2.70,-0.08
L,REG407,2.70,0.16
L,REG403,2.80,21.92
L,REG405,2.80,0.20
L,REG407,2.80,0.24
L,REG408,2.80,26.63
L,REG407,2.90,0.20
L,REG408,2.90,26.37
L,REG408,3.00,26.63
L,REG407,3.10,0.16
L,REG403,3.20,22.96
L,REG407,3.20,0.12
L,REG408,3.20,26.37
L,REG403,3.30,21.92
L,REG405,3.30,-0.08
L,REG407,3.30,0.08
L,REG408,3.30,26.63
L,REG405,3.40,0.20
L,REG407,3.40,0.00
L,REG408,3.40,26.37
L,REG407,3.50,0.08
L,REG407,3.60,0.12
L,REG408,3.60,26.63
L,REG408,3.70,26.37
L,REG403,3.80,22.96
L,REG407,3.80,0.08
L,REG408,3.80,26.63
L,REG407,3.90,0.12
L,REG408,3.90,26.37
L,REG407,4.00,0.08
L,REG403,4.10,21.92
L,REG407,4.10,0.12
L,REG407,4.20,0.24
L,REG408,4.20,26.63
L,REG407,4.30,0.20
L,REG408,4.40,26.37
L,REG403,4.50,22.96
L,REG405,4.50,-0.08
L,REG407,4.50,0.28
L,REG403,4.60,21.92
L,REG405,4.60,0.20
L,REG407,4.60,0.24
L,REG403,4.80,22.96
L,REG407,4.80,0.16
L,REG407,4.90,0.12
L,REG403,5.00,21.92
L,REG407,5.00,0.16
L,REG403,5.10,22.96
L,REG405,5.10,-0.08
L,REG407,5.10,0.12
L,REG403,5.20,21.92
L,REG405,5.20,0.20
L,REG407,5.20,0.04
L,REG407,5.30,0.00
L,REG408,5.30,26.63
L,REG405,5.40,-0.08
L,REG408,5.40,26.37
L,REG403,5.50,22.96
L,REG405,5.50,0.20
L,REG408,5.60,26.63
L,REG403,5.70,21.92
L,REG408,5.70,26.37
L,REG407,5.80,0.04
L,REG408,5.80,26.63
L,REG403,5.90,22.96
L,REG407,5.90,0.00
L,REG408,5.90,26.37
L,REG407,6.00,0.04
L,REG403,6.10,21.92
L,REG407,6.10,0.16
L,REG403,6.20,22.96
L,REG403,6.30,21.92
L,REG407,6.30,0.24
L,REG407,6.40,0.36
L,REG403,6.50,22.96
L,REG407,6.50,0.28
L,REG407,6.60,0.32
L,REG408,6.60,26.63
L,REG407,6.70,0.24
L,REG405,6.80,-0.08
L,REG407,6.80,0.16
L,REG403,6.90,21.92
L,REG405,6.90,0.20
L,REG407,6.90,0.24
L,REG408,6.90,26.37
L,REG403,7.00,22.96
L,REG403,7.10,21.92
L,REG404,7.20,36.81
L,REG407,7.20,0.20
L,REG408,7.20,26.63
L,REG404,7.30,37.07
L,REG405,7.30,-0.08
L,REG407,7.30,0.16
L,REG408,7.30,26.37
L,REG405,7.40,0.20
L,REG407,7.40,0.12
L,REG403,7.50,22.96
L,REG407,7.50,0.08
L,REG408,7.50,26.63
L,REG407,7.60,0.00
L,REG403,7.70,21.92
L,REG408,7.70,26.37
L,REG403,7.80,22.96
L,REG407,7.90,0.04
L,REG403,8.00,21.92
L,REG407,8.00,0.00
L,REG403,8.10,22.96
L,REG407,8.10,0.04
L,REG407,8.20,0.00
L,REG408,8.40,26.63
L,REG403,8.50,21.92
L,REG405,8.50,-0.08
L,REG408,8.50,26.37
L,REG405,8.60,0.20
L,REG407,8.70,0.08
L,REG407,8.90,0.12
L,REG407,9.00,0.20
L,REG403,9.10,22.96
L,REG407,9.20,0.16
L,REG403,9.30,21.92
L,REG407,9.30,0.12
L,REG407,9.40,0.08
L,REG403,9.50,22.96
L,REG407,9.50,0.00
L,REG403,9.60,21.92
L,REG407,9.90,0.04
L,REG403,10.00,22.96
L,REG407,10.00,0.00
L,REG403,10.10,21.92
L,REG407,10.40,0.08
L,REG407,10.50,0.04
L,REG403,10.60,22.96
L,REG407,10.60,0.00
L,REG408,10.60,26.63
L,REG408,10.70,26.37
L,REG403,10.90,21.92
L,REG407,10.90,0.04
L,REG407,11.00,0.12
L,REG407,11.10,0.08
L,REG403,11.20,22.96
L,REG407,11.20,0.00
L,REG408,11.20,26.63
L,REG403,11.30,21.92
L,REG407,11.30,0.04
L,REG408,11.30,26.37
L,REG407,11.40,0.08
L,REG403,11.50,22.96
L,REG407,11.50,0.04
L,REG408,11.50,26.63
L,REG407,11.60,0.00
L,REG408,11.60,26.37
L,REG403,11.70,21.92
L,REG405,11.80,-0.08
L,REG405,11.90,0.20
L,REG403,12.00,22.96
L,REG407,12.00,0.04
L,REG403,12.10,21.92
L,REG407,12.10,0.12
L,REG407,12.20,0.04
L,REG407,12.30,0.00
L,REG403,12.50,22.96
L,REG405,12.50,-0.08
L,REG403,12.60,21.92
L,REG405,12.60,0.20
L,REG407,12.60,0.08
L,REG407,12.70,0.12
L,REG405,12.80,-0.08
L,REG407,12.80,0.16
L,REG403,12.90,22.96
L,REG405,12.90,0.20
L,REG407,12.90,0.04
L,REG403,13.00,21.92
L,REG407,13.00,0.00
L,REG403,13.10,22.96
L,REG403,13.30,21.92
L,REG403,13.80,22.96
L,REG407,13.80,0.04
L,REG407,13.90,0.00
L,REG407,14.10,0.08
L,REG403,14.20,21.92
L,REG405,14.20,-0.08
L,REG405,14.30,0.20
L,REG407,14.30,0.12
L,REG407,14.40,0.08
L,REG403,14.50,22.96
L,REG407,14.50,0.04
L,REG403,14.60,21.92
L,REG405,14.60,-0.08
L,REG407,14.60,0.00
L,REG403,14.70,22.96
L,REG405,14.70,0.20
L,REG403,14.80,21.92
L,REG403,14.90,22.96
L,REG403,15.00,21.92
L,REG403,15.20,22.96
L,REG404,15.20,36.81
L,REG408,15.20,26.63
L,REG404,15.30,37.07
L,REG408,15.30,26.37
L,REG403,15.40,21.92
L,REG404,15.40,36.81
L,REG403,15.50,22.96
L,REG404,15.50,37.07
L,REG407,15.50,0.04
L,REG403,15.60,21.92
L,REG407,15.60,0.12
L,REG404,15.70,36.81
L,REG404,15.80,37.07
L,REG405,15.80,-0.08
L,REG407,15.80,0.04
L,REG407,15.90,0.00
L,REG405,16.00,0.20
L,REG407,16.00,0.04
L,REG403,16.10,22.96
L,REG407,16.20,0.00
L,REG403,16.40,21.92
L,REG404,16.40,36.81
L,REG404,16.50,37.07
L,REG403,17.00,22.96
L,REG403,17.10,21.92
L,REG407,17.10,0.04
L,REG407,17.20,0.00
L,REG403,17.30,22.96
L,REG405,17.30,-0.08
L,REG407,17.30,0.04
L,REG405,17.40,0.20
L,REG403,17.50,21.92
L,REG407,17.50,0.08
L,REG404,17.60,36.81
L,REG407,17.60,0.12
L,REG403,17.70,22.96
L,REG404,17.70,37.07
L,REG407,17.70,0.16
L,REG407,17.80,0.12
L,REG407,17.90,0.08
L,REG407,18.00,0.04
L,REG403,18.10,21.92
L,REG404,18.10,36.81
L,REG403,18.20,22.96
L,REG404,18.20,37.07
L,REG407,18.20,0.16
L,REG403,18.30,21.92
L,REG407,18.40,0.24
L,REG407,18.50,0.16
L,REG403,18.60,22.96
L,REG407,18.60,0.12
L,REG403,18.70,21.92
L,REG407,18.70,0.04
L,REG407,18.80,0.00
L,REG404,18.90,36.81
L,REG407,18.90,0.12
L,REG404,19.00,37.07
L,REG407,19.00,0.04
L,REG407,19.10,0.00
L,REG403,19.20,22.96
L,REG403,19.30,21.92
L,REG405,19.50,-0.08
L,REG403,19.60,22.96
L,REG405,19.60,0.20
L,REG403,19.70,21.92
L,REG404,19.70,36.81
L,REG404,19.90,37.07
L,REG407,19.90,0.12
L,REG407,20.00,0.20
L,REG407,20.10,0.16
L,REG403,20.20,22.96
L,REG404,20.20,36.81
L,REG407,20.20,0.08
L,REG403,20.30,21.92
L,REG404,20.30,37.07
L,REG407,20.30,0.04
L,REG403,20.40,22.96
L,REG407,20.40,0.00
L,REG404,20.50,36.81
L,REG407,20.50,0.04
L,REG403,20.60,21.92
L,REG404,20.60,37.07
L,REG404,20.70,36.81
L,REG407,20.70,0.00
L,REG404,20.80,37.07
L,REG405,20.80,-0.08
L,REG405,20.90,0.20
L,REG407,20.90,0.04
L,REG403,21.00,22.96
L,REG407,21.00,0.00
L,REG403,21.10,21.92
L,REG407,21.20,0.04
L,REG407,21.30,0.08
L,REG407,21.40,0.12
L,REG403,21.50,22.96
L,REG404,21.50,36.81
L,REG405,21.50,-0.08
L,REG405,21.60,0.20
L,REG403,21.70,21.92
L,REG404,21.70,37.07
L,REG404,21.80,36.81
L,REG407,21.80,0.20
L,REG403,21.90,22.96
L,REG405,21.90,-0.08
L,REG407,21.90,0.24
L,REG403,22.00,21.92
L,REG404,22.00,37.07
L,REG405,22.00,0.20
L,REG407,22.00,0.20
L,REG404,22.10,36.81
L,REG407,22.10,0.16
L,REG407,22.20,0.12
L,REG403,22.30,22.96
L,REG404,22.30,37.07
L,REG405,22.30,-0.08
L,REG404,22.40,36.81
L,REG407,22.40,0.08
L,REG407,22.50,0.04
L,REG403,22.60,21.92
L,REG405,22.60,0.20
L,REG407,22.60,0.00
L,REG407,22.90,0.08
L,REG404,23.00,37.07
L,REG407,23.00,0.16
L,REG403,23.10,22.96
L,REG404,23.10,36.81
L,REG405,23.10,-0.08
L,REG407,23.10,0.20
L,REG404,23.20,37.07
L,REG405,23.20,0.20
L,REG407,23.20,0.12
L,REG403,23.30,21.92
L,REG404,23.30,36.81
L,REG407,23.30,0.08
L,REG407,23.40,0.16
L,REG403,23.50,22.96
L,REG404,23.50,37.07
L,REG407,23.50,0.20
L,REG403,23.60,21.92
L,REG404,23.60,36.81
L,REG407,23.60,0.16
L,REG407,23.70,0.20
L,REG407,23.80,0.24
L,REG403,23.90,22.96
L,REG407,23.90,0.16
L,REG404,24.00,37.07
L,REG403,24.10,21.92
L,REG404,24.10,36.81
L,REG407,24.10,0.12
L,REG405,24.20,-0.08
L,REG407,24.20,0.04
L,REG405,24.30,0.20
L,REG407,24.30,0.08
L,REG404,24.40,37.07
L,REG407,24.40,0.12
L,REG404,24.50,36.81
L,REG407,24.50,0.08
L,REG404,24.60,37.07
L,REG407,24.60,0.04
L,REG404,24.70,36.81
L,REG407,24.70,0.08
L,REG407,24.90,0.04
L,REG407,25.00,0.00
L,REG404,25.10,37.07
L,REG407,25.20,0.04
L,REG403,25.30,22.96
L,REG404,25.30,36.81
L,REG407,25.30,0.00
L,REG403,25.40,21.92
L,REG403,25.50,22.96
L,REG403,25.60,21.92
