H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5128
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:43:42
H,SpiderTimeZone,+1
H,SpiderUpTime,198
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
H,DriftTimeD1,1547964
H,DriftTimeD2,0
H,DriftTimeP1,1612624
H,DriftTimeP2,25776191
H,DriftTimeP3,25776191
H,DriftTimeP4,25776191
H,LogStartTime,2012-05-11 11:42:40
A,W1_019
S,FileTime,60
S,UploadTime,120
S,REG401,1
S,REG402,1
S,REG403,0.1
S,REG404,0.1
S,REG405,0.1
S,REG406,0.1
S,REG407,0.1
S,REG408,0.1
S,REG409,1
S,REG410,60
S,REG311,0.1
S,REG103,0.1
S,REG109,0.1
S,DOUT01,1
S,DOUT02,1
L,DOUT01,0.00,0
L,DOUT02,0.00,0
L,REG103,0.00,0.00
L,REG109,0.00,0.00
L,REG311,0.00,0.00
L,REG401,0.00,0.00
L,REG402,0.00,0.00
L,REG403,0.00,22.96
L,REG404,0.00,37.59
L,REG405,0.00,0.20
L,REG406,0.00,0.00
L,REG407,0.00,0.12
L,REG408,0.00,26.63
L,REG409,0.00,0.00
L,REG410,0.00,35.80
L,REG407,0.10,0.04
L,REG407,0.30,0.00
L,REG403,0.40,21.92
L,REG405,0.50,-0.08
L,REG403,0.60,22.96
L,REG405,0.60,0.20
L,REG403,0.70,21.92
L,REG403,1.00,22.96
L,REG403,1.30,21.92
L,REG403,1.50,22.96
L,REG407,1.50,0.08
L,REG407,1.60,0.00
L,REG403,1.70,21.92
L,REG403,1.90,22.96
L,REG403,2.00,21.92
L,REG403,2.10,22.96
L,REG403,2.20,21.92
L,REG403,2.30,22.96
L,REG403,2.50,21.92
L,REG403,2.60,22.96
L,REG403,2.80,21.92
L,REG407,2.90,0.08
L,REG403,3.00,22.96
L,REG407,3.00,0.12
L,REG407,3.10,0.04
L,REG403,3.20,21.92
L,REG407,3.20,0.00
L,REG403,3.30,22.96
L,REG404,3.40,37.33
L,REG407,3.40,0.04
L,REG403,3.50,21.92
L,REG404,3.50,37.59
L,REG407,3.50,0.00
L,REG403,3.60,22.96
L,REG405,3.70,-0.08
L,REG403,3.80,21.92
L,REG405,3.80,0.20
L,REG403,4.00,22.96
L,REG403,4.10,21.92
L,REG404,4.30,37.33
L,REG403,4.40,22.96
L,REG404,4.40,37.59
L,REG403,4.50,21.92
L,REG403,4.80,22.96
L,REG407,4.90,0.04
L,REG403,5.00,21.92
L,REG407,5.00,0.00
L,REG405,5.20,-0.08
L,REG403,5.30,22.96
L,REG405,5.30,0.20
L,REG407,5.30,0.04
L,REG403,5.40,21.92
L,REG407,5.40,0.08
L,REG403,5.50,22.96
L,REG407,5.50,0.04
L,REG403,5.60,21.92
L,REG407,5.60,0.00
L,REG403,5.70,22.96
L,REG404,5.70,37.33
L,REG403,5.80,21.92
L,REG404,5.80,37.59
L,REG405,5.80,-0.08
L,REG403,6.00,22.96
L,REG405,6.00,0.20
L,REG403,6.20,21.92
L,REG405,6.20,-0.08
L,REG407,6.20,0.04
L,REG405,6.30,0.20
L,REG407,6.30,0.08
L,REG403,6.40,22.96
L,REG407,6.40,0.00
L,REG403,6.50,21.92
L,REG403,6.60,22.96
L,REG407,6.70,0.04
L,REG407,6.80,0.12
L,REG407,6.90,0.04
L,REG407,7.00,0.00
L,REG403,7.10,21.92
L,REG403,7.20,22.96
L,REG407,7.20,0.04
L,REG407,7.30,0.12
L,REG404,7.40,37.33
L,REG407,7.40,0.08
L,REG403,7.50,21.92
L,REG404,7.50,37.59
L,REG407,7.50,0.00
L,REG403,7.60,22.96
L,REG407,7.60,0.04
L,REG403,7.80,21.92
L,REG407,7.90,0.08
L,REG403,8.00,22.96
L,REG407,8.00,0.12
L,REG403,8.10,21.92
L,REG407,8.10,0.00
L,REG407,8.60,0.12
L,REG407,8.70,0.08
L,REG407,8.80,0.00
L,REG403,8.90,22.96
L,REG405,8.90,-0.08
L,REG403,9.00,21.92
L,REG405,9.00,0.20
L,REG407,9.00,0.04
L,REG407,9.10,0.08
L,REG407,9.20,0.04
L,REG407,9.30,0.00
L,REG404,9.90,37.33
L,REG407,9.90,0.04
L,REG403,10.00,22.96
L,REG407,10.00,0.16
L,REG404,10.10,37.59
L,REG407,10.10,0.04
L,REG403,10.20,21.92
L,REG407,10.20,0.00
L,REG403,10.40,22.96
L,REG405,10.50,-0.08
L,REG405,10.60,0.20
L,REG405,10.80,-0.08
L,REG403,10.90,21.92
L,REG405,10.90,0.20
L,REG407,10.90,0.08
L,REG403,11.00,22.96
L,REG407,11.00,0.12
L,REG403,11.10,21.92
L,REG407,11.10,0.04
L,REG404,11.20,37.33
L,REG407,11.20,0.20
L,REG404,11.30,37.59
L,REG403,11.40,22.96
L,REG404,11.40,37.33
L,REG405,11.40,-0.08
L,REG407,11.40,0.12
L,REG403,11.50,21.92
L,REG404,11.50,37.59
L,REG405,11.50,0.20
L,REG407,11.50,0.00
L,REG404,11.70,37.33
L,REG404,11.80,37.59
L,REG407,11.90,0.04
L,REG407,12.00,0.00
L,REG403,12.20,22.96
L,REG403,12.30,21.92
L,REG407,12.40,0.04
L,REG404,12.60,37.33
L,REG407,12.60,0.00
L,REG403,12.70,22.96
L,REG404,12.70,37.59
L,REG407,12.70,0.08
L,REG407,12.80,0.12
L,REG403,12.90,21.92
L,REG407,12.90,0.04
L,REG407,13.00,0.00
L,REG404,13.20,37.33
L,REG404,13.30,37.59
L,REG407,13.30,0.04
L,REG404,13.40,37.33
L,REG407,13.40,0.12
L,REG407,13.50,0.24
L,REG407,13.60,0.28
L,REG404,13.70,37.59
L,REG407,13.70,0.20
L,REG407,13.80,0.12
L,REG407,13.90,0.08
L,REG407,14.00,0.00
L,REG404,14.30,37.33
L,REG404,14.40,37.59
L,REG404,14.60,37.33
L,REG407,14.60,0.04
L,REG404,14.70,37.59
L,REG407,14.70,0.12
L,REG403,14.90,22.96
L,REG407,14.90,0.04
L,REG403,15.00,21.92
L,REG407,15.00,0.00
L,REG404,15.10,37.33
L,REG407,15.10,0.04
L,REG407,15.20,0.16
L,REG404,15.30,37.59
L,REG404,15.40,37.33
L,REG407,15.40,0.24
L,REG407,15.50,0.28
L,REG407,15.60,0.20
L,REG407,15.70,0.16
L,REG404,15.80,37.59
L,REG407,15.80,0.20
L,REG404,15.90,37.33
L,REG407,15.90,0.28
L,REG407,16.00,0.24
L,REG403,16.10,22.96
L,REG404,16.10,37.59
L,REG407,16.10,0.16
L,REG403,16.20,21.92
L,REG404,16.20,37.33
L,REG405,16.20,-0.08
L,REG407,16.20,0.08
L,REG405,16.30,0.20
L,REG407,16.30,0.00
L,REG403,16.40,22.96
L,REG405,16.40,-0.08
L,REG403,16.50,21.92
L,REG404,16.50,37.59
L,REG405,16.50,0.20
L,REG407,16.50,0.12
L,REG404,16.60,37.33
L,REG404,16.70,37.59
L,REG407,16.70,0.04
L,REG403,16.80,22.96
L,REG404,16.80,37.33
L,REG407,16.80,0.00
L,REG403,17.00,21.92
L,REG404,17.00,37.59
L,REG404,17.10,37.33
L,REG407,17.10,0.12
L,REG404,17.20,37.59
L,REG407,17.20,0.08
L,REG404,17.30,37.33
L,REG407,17.30,0.00
L,REG403,17.40,22.96
L,REG407,17.40,0.04
L,REG403,17.50,21.92
L,REG407,17.50,0.12
L,REG403,17.60,22.96
L,REG407,17.60,0.08
L,REG407,17.70,0.00
L,REG404,17.80,37.59
L,REG403,17.90,21.92
L,REG407,17.90,0.04
L,REG404,18.00,37.33
L,REG407,18.00,0.08
L,REG403,18.10,22.96
L,REG403,18.20,21.92
L,REG407,18.30,0.16
L,REG407,18.40,0.12
L,REG403,18.50,22.96
L,REG404,18.50,37.59
L,REG407,18.50,0.04
L,REG403,18.60,21.92
L,REG404,18.60,37.33
L,REG405,18.60,-0.08
L,REG407,18.60,0.00
L,REG405,18.70,0.20
L,REG407,18.70,0.04
L,REG407,18.80,0.00
L,REG407,19.00,0.04
L,REG407,19.10,0.00
L,REG403,19.20,22.96
L,REG407,19.20,0.16
L,REG404,19.30,37.59
L,REG407,19.30,0.12
L,REG403,19.40,21.92
L,REG404,19.40,37.33
L,REG407,19.40,0.08
L,REG407,19.50,0.04
L,REG407,19.60,0.00
L,REG405,19.80,-0.08
L,REG403,19.90,22.96
L,REG405,19.90,0.20
L,REG403,20.00,21.92
L,REG404,20.00,37.59
L,REG404,20.10,37.33
L,REG403,20.40,22.96
L,REG403,20.50,21.92
L,REG403,20.80,22.96
L,REG407,20.90,0.08
L,REG403,21.00,21.92
L,REG404,21.00,37.59
L,REG404,21.10,37.33
L,REG407,21.20,0.00
L,REG403,21.30,22.96
L,REG403,21.40,21.92
L,REG403,21.70,22.96
L,REG403,22.00,21.92
L,REG405,22.10,-0.08
L,REG405,22.20,0.20
L,REG407,22.20,0.04
L,REG403,22.30,22.96
L,REG407,22.30,0.00
L,REG403,22.40,21.92
L,REG407,22.70,0.04
L,REG404,22.80,37.59
L,REG407,22.80,0.00
L,REG404,22.90,37.33
L,REG407,22.90,0.12
L,REG407,23.00,0.04
L,REG403,23.10,22.96
L,REG407,23.10,0.00
L,REG403,23.20,21.92
L,REG403,23.50,22.96
L,REG407,23.50,0.04
L,REG403,23.60,21.92
L,REG407,23.60,0.00
L,REG403,23.70,22.96
L,REG403,23.90,21.92
L,REG403,24.00,22.96
L,REG405,24.00,-0.08
L,REG407,24.10,0.04
L,REG403,24.20,21.92
L,REG405,24.20,0.20
L,REG407,24.20,0.08
L,REG403,24.30,22.96
L,REG403,24.40,21.92
L,REG407,24.40,0.12
L,REG407,24.50,0.00
L,REG403,24.80,22.96
L,REG407,24.90,0.04
L,REG403,25.00,21.92
L,REG407,25.00,0.08
L,REG407,25.10,0.00
L,REG403,25.30,22.96
L,REG407,25.40,0.04
L,REG407,25.50,0.08
L,REG407,25.60,0.04
L,REG403,25.70,21.92
L,REG407,25.70,0.16
L,REG403,25.80,22.96
L,REG407,25.80,0.12
L,REG405,25.90,-0.08
L,REG405,26.00,0.20
L,REG407,26.00,0.08
L,REG403,26.10,21.92
L,REG407,26.10,0.00
L,REG405,26.20,-0.08
L,REG405,26.30,0.20
L,REG407,26.30,0.08
L,REG407,26.40,0.12
L,REG403,26.50,22.96
L,REG407,26.50,0.08
L,REG403,26.60,21.92
L,REG407,26.60,0.04
L,REG407,26.80,0.00
L,REG407,26.90,0.08
L,REG407,27.00,0.04
L,REG403,27.10,22.96
L,REG407,27.10,0.00
L,REG403,27.40,21.92
L,REG407,27.40,0.08
L,REG407,27.50,0.04
L,REG407,27.60,0.00
L,REG403,27.70,22.96
L,REG403,27.90,21.92
L,REG407,27.90,0.04
L,REG405,28.00,-0.08
L,REG403,28.10,22.96
L,REG405,28.10,0.20
L,REG407,28.10,0.12
L,REG407,28.20,0.24
L,REG403,28.30,21.92
L,REG407,28.30,0.20
L,REG403,28.40,22.96
L,REG407,28.40,0.12
L,REG403,28.50,21.92
L,REG407,28.60,0.08
L,REG407,28.70,0.04
L,REG407,28.80,0.16
L,REG403,29.00,22.96
L,REG407,29.10,0.08
L,REG407,29.20,0.12
L,REG403,29.30,21.92
L,REG407,29.30,0.08
L,REG407,29.40,0.00
L,REG403,29.50,22.96
L,REG407,29.60,0.04
L,REG407,29.70,0.24
L,REG403,29.80,21.92
L,REG407,29.80,0.32
L,REG403,29.90,22.96
L,REG407,29.90,0.24
L,REG407,30.00,0.16
L,REG403,30.10,21.92
L,REG407,30.10,0.12
L,REG407,30.20,0.00
L,REG405,30.50,-0.08
L,REG405,30.60,0.20
L,REG407,30.60,0.04
L,REG403,30.70,22.96
L,REG407,30.80,0.00
L,REG403,30.90,21.92
L,REG407,31.30,0.04
L,REG405,31.40,-0.08
L,REG407,31.40,0.00
L,REG405,31.50,0.20
L,REG405,31.90,-0.08
L,REG407,31.90,0.04
L,REG405,32.10,0.20
L,REG407,32.10,0.00
L,REG405,32.20,-0.08
L,REG405,32.30,0.20
L,REG405,32.60,-0.08
L,REG405,32.70,0.20
L,REG403,32.80,22.96
L,REG403,32.90,21.92
L,REG403,33.10,22.96
L,REG403,33.20,21.92
L,REG407,33.20,0.08
L,REG407,33.40,0.00
L,REG403,33.60,22.96
L,REG403,33.70,21.92
L,REG407,33.90,0.04
L,REG403,34.00,22.96
L,REG407,34.00,0.00
L,REG403,34.10,21.92
L,REG403,34.20,22.96
L,REG407,34.30,0.04
L,REG403,34.40,21.92
L,REG407,34.40,0.08
L,REG407,34.60,0.04
L,REG403,34.70,22.96
