10, 1.8270124, 0.142386985591522, 16.791241817098, 1, 4E-05, 
36, 1.8096492, 0.0233896879791059, 16.3768865228221, 4, 0.00016, 
7, 1.8189042, 0.0177168740741747, 16.5436318820231, 3, 0.00012, 
33, 1.81590299999999, 0.0181069056329258, 16.4891578272028, 3, 0.00012, 
4, 1.9577164, 0.0242186227733957, 19.1662002225901, 10, 0.0004, 
30, 1.81225139999999, 0.0234385233886356, 16.4240225059028, 1, 4E-05, 
1, 1.79044939999997, 0.0212406744959074, 16.0308011010664, 4, 0.00016, 
27, 1.78782360000002, 0.0324583008341459, 15.9868338300504, 4, 0.00016, 
24, 1.85264480000001, 0.0233819797057526, 17.1641973597101, 3, 0.00012, 
21, 1.76378099999997, 0.0250602131435671, 15.5577571512185, 3, 0.00012, 
18, 1.84352240000001, 0.0217521310367048, 16.9952399725321, 2, 8E-05, 
15, 1.78809619999997, 0.0152211964365424, 15.9875985263765, 1, 4E-05, 
11, 1.87884859999999, 0.0122510707711734, 17.6511107522849, 3, 0.00012, 
37, 1.96248359999995, 0.0159356610229834, 19.257979127805, 6, 0.00024, 
8, 1.89331360000001, 0.0222380757314974, 17.9256545997862, 12, 0.00048, 
34, 1.83783579999999, 0.0223921655441753, 16.8907091841969, 5, 0.0002, 
5, 1.83450140000004, 0.0219976980122553, 16.8293964265998, 6, 0.00024, 
31, 1.86570699999997, 0.0216837202250508, 17.4066639678585, 7, 0.00028, 
2, 1.85358900000006, 0.0260936649629046, 17.182365301362, 3, 0.00012, 
28, 1.81079100000002, 0.0235036317448911, 16.3975823319313, 5, 0.0002, 
25, 1.86812520000003, 0.0221274248244132, 17.4519069290226, 6, 0.00024, 
22, 1.85393300000005, 0.0181134839497862, 17.18697833395, 3, 0.00012, 
19, 1.83742620000003, 0.0242641080231829, 16.8836189369235, 4, 0.00016, 
16, 1.79671959999996, 0.0212196383908484, 16.1432579703873, 1, 4E-05, 
13, 1.8971888, 0.0198920463040041, 17.9986051817581, 8, 0.00032, 
39, 2.06801859999987, 0.0225091406285357, 21.3860379567863, 12, 0.00048, 
12, 1.96011860000008, 0.029317569152858, 19.2146222296365, 8, 0.00032, 
38, 2.04653579999995, 0.00825712180842008, 20.9418848037099, 7, 0.00028, 
9, 1.85130879999997, 0.0348532460030856, 17.1427951085714, 2, 8E-05, 
35, 1.90082279999988, 0.00963322792005878, 18.0661005803977, 5, 0.0002, 
6, 1.88221379999995, 0.0280290446887262, 17.7175720812821, 5, 0.0002, 
32, 1.83201320000007, 0.0233103845306008, 16.7840786950074, 5, 0.0002, 
3, 1.83497379999999, 0.0223381523445175, 16.8381391986828, 4, 0.00016, 
29, 1.88407960000004, 0.0188937193966263, 17.7505645588448, 4, 0.00016, 
0, 1.82963940000009, 0.0216087955204757, 16.7402363703826, 2, 8E-05, 
26, 1.85854040000004, 0.0183124250015934, 17.2725388167087, 4, 0.00016, 
23, 1.848045, 0.0225129831607679, 17.078885782179, 4, 0.00016, 
20, 1.84464800000014, 0.0245673275306528, 17.0166489874326, 4, 0.00016, 
17, 1.85567519999995, 0.0238016906156127, 17.2204848418551, 8, 0.00032, 
14, 1.80638719999997, 0.0137761488582579, 16.3161224930055, 1, 4E-05, 
40, 1.893498, 0.0236051141576936, 17.929459387092, 6, 0.00024, 
