INTEGER.BAG.ATLEAST->BOOLEAN 2 elements, 5.22429032588312E-06, 2.72933311175375E-10, 1.10321539850943E-08, 
INTEGER.BAG.ATLEAST->BOOLEAN 4 elements, 5.24589564504567E-06, 2.75196289838204E-10, 1.44175279193706E-08, 
BAG.MINAGG2->NUMBER.OBJECT 4 elements, 5.71156220400873E-06, 3.2622127413524E-10, 1.3586878335643E-08, 
BAG.MINAGG2->NUMBER.OBJECT 2 elements, 5.30705583851177E-06, 2.81650183190188E-10, 1.32908215278737E-08, 
BAG.SUM2->NUMBER.NUMBER 2 elements, 5.8740107171364E-06, 3.4504854532736E-10, 2.91997894293639E-08, 
BAG.SUM2->NUMBER.NUMBER 4 elements, 6.29673393143799E-06, 3.96492979548047E-10, 2.09702523164162E-08, 
BAG.MINAGG4->NUMBER.OBJECT.OBJECT.OBJECT 4 elements, 6.39545717478127E-06, 4.09023324184784E-10, 2.1446305444031E-08, 
BAG.MINAGG4->NUMBER.OBJECT.OBJECT.OBJECT 2 elements, 5.81349889983927E-06, 3.37969435861326E-10, 1.3195745536697E-08, 
FUNCTION.MAKEBAG->BAG, 4.58332315050959E-06, 2.10070760375247E-10, 1.49978507624226E-08, 
TYPE.OBJECT.VECTOR.NEW_SOBJECT->SOBJECT, 5.61083726057689E-06, 3.14815630157736E-10, 8.26142212898407E-09, 
TYPE.OBJECT.OBJECT.VECTOR.NEW_SOBJECT->SOBJECT, 5.70516601519657E-06, 3.25489537620176E-10, 5.87376060913313E-09, 
VECTOR.SOBJECT.TYPE.INTEGER.TRANSPOSE->BOOLEAN, 6.70822022922959E-06, 4.50003327150851E-10, 1.06804138527253E-08, 
VECTOR.SOBJECT.TYPE.INTEGER.INTEGER.TRANSPOSE->BOOLEAN, 7.1116921759549E-06, 5.05764353065159E-10, 1.64225752474195E-08, 
VECTOR.TRANSPOSE->VECTOR, 6.12706496098603E-06, 3.75409973623149E-10, 8.50447953696433E-09, 
SOBJECT.INTEGER.GET_SLOT->OBJECT, 4.84266577147206E-06, 2.34514489454349E-10, 6.09682276471773E-09, 
SOBJECT.INTEGER.GET_SLOT_BAG->OBJECT, 5.20070944404625E-06, 2.70476491261318E-10, 1.64439879578879E-08, 
SOBJECT.INTEGER.OBJECT.SET_SLOT->BOOLEAN, 4.8260626386274E-06, 2.3290959299527E-10, 8.87172879112826E-09, 
SOBJECT.INTEGER.VECTOR.SET_SLOTVECTOR->BOOLEAN, 4.83514327708042E-06, 2.33787286166017E-10, 1.08676909087713E-08, 
SOBJECT.INTEGER.VECTOR.FUNCTION.SET_SLOTVECTOR->BOOLEAN, 4.8497220084356E-06, 2.35198606329306E-10, 7.55472209642904E-09, 
SOBJECT.INTEGER.VECTOR.FUNCTION.SET_SLOTVECTOR->BOOLEAN, 4.85327307119082E-06, 2.35543511219632E-10, 9.57175099952481E-09, 
