10, 211.633903, 0.0, 44788.9088990134, 1, 4E-05, 
36, 209.197151, 0.0, 43763.4479865168, 4, 0.00016, 
7, 211.417542, 0.0, 44697.3770653218, 3, 0.00012, 
33, 209.60868, 0.0, 43935.7987313424, 3, 0.00012, 
4, 212.453872, 0.0, 45136.6477277924, 10, 0.0004, 
30, 210.487209, 0.0, 44304.8651526096, 1, 4E-05, 
1, 212.990054, 0.0, 45364.7631029229, 4, 0.00016, 
27, 207.482099, 0.0, 43048.8214054458, 4, 0.00016, 
24, 206.874843, 0.0, 42797.2006662747, 3, 0.00012, 
21, 213.464953, 0.0, 45567.2861592922, 3, 0.00012, 
18, 210.451706, 0.0, 44289.9205583104, 2, 8E-05, 
15, 205.602933, 0.0, 42272.5660582025, 1, 4E-05, 
11, 222.347667, 0.0, 49438.4850203429, 3, 0.00012, 
37, 210.216558, 0.0, 44191.0012573674, 6, 0.00024, 
8, 208.419614, 0.0, 43438.7354999091, 12, 0.00048, 
34, 209.720968, 0.0, 43982.8844188571, 5, 0.0002, 
5, 209.152395, 0.0, 43744.7243342361, 6, 0.00024, 
31, 210.948433, 0.0, 44499.2413851555, 7, 0.00028, 
2, 209.812171, 0.0, 44021.1470997333, 3, 0.00012, 
28, 209.626056999999, 0.0, 43943.083773367, 5, 0.0002, 
25, 207.34786, 0.0, 42993.1350465795, 6, 0.00024, 
22, 208.301918, 0.0, 43389.6890424788, 3, 0.00012, 
19, 208.819771, 0.0, 43605.6967604926, 4, 0.00016, 
16, 213.021964, 0.0, 45378.3571464175, 1, 4E-05, 
13, 211.115353, 0.0, 44569.6922723147, 8, 0.00032, 
39, 209.766111, 0.0, 44001.8213240643, 12, 0.00048, 
12, 211.068248, 0.0, 44549.8053137893, 8, 0.00032, 
38, 210.823552000001, 0.0, 44446.570077897, 7, 0.00028, 
9, 208.958296999999, 0.0, 43663.5698851399, 2, 8E-05, 
35, 220.399785000001, 0.0, 48576.0652280465, 5, 0.0002, 
6, 209.936271, 0.0, 44073.2378813856, 5, 0.0002, 
32, 212.133159999999, 0.0, 45000.4775715853, 5, 0.0002, 
3, 208.799548, 0.0, 43597.2512450043, 4, 0.00016, 
29, 211.732905, 0.0, 44830.823059739, 4, 0.00016, 
0, 213.907894, 0.0, 45756.5871155152, 2, 8E-05, 
26, 210.77181, 0.0, 44424.7558906762, 4, 0.00016, 
23, 207.201641, 0.0, 42932.5200330927, 4, 0.00016, 
20, 212.759339, 0.0, 45266.536331717, 4, 0.00016, 
17, 211.670409, 0.0, 44804.3620462274, 8, 0.00032, 
14, 212.885662000001, 0.0, 45320.3050851785, 1, 4E-05, 
40, 210.436883, 0.0, 44283.6817267558, 6, 0.00024, 
