1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,9.8,0,0
7,13.7,0,1.9
8,13.7,0,1.9
9,13.7,0,0
10,13.7,0,0
11,13.7,0,0
12,13.7,0,0
13,13.7,0,0
14,13.7,0,0
15,13.7,0,0
16,13.7,0,0
17,13.7,0,0
18,13.7,0,1.9
19,13.7,0,0
20,13.7,0,0
21,13.7,0,0
22,13.7,0,0
23,13.7,0,1.9
24,13.7,0,1.9
25,13.7,0,0
26,13.7,0,0
27,13.7,0,0
28,13.7,0,0
29,13.7,0,0
30,13.7,0,1.9
31,13.7,0,1.9
32,13.7,0,1.9
33,13.7,0,1.9
34,13.7,0,0
35,13.7,0,0
36,13.7,0,0
37,13.7,0,0
38,13.7,0,0
39,13.7,0,0
40,13.7,0,0
41,13.7,0,0
42,13.7,0,1.9
43,13.7,0,0
44,13.7,0,0
45,13.7,0,0
46,13.7,0,0
47,13.7,0,0
48,13.7,0,0
49,13.7,0,0
50,13.7,0,1.9
51,13.7,0,1.9
52,13.7,0,0
53,13.7,0,1.9
54,13.7,0,0
55,13.7,0,0
56,13.7,0,0
57,13.7,0,0
58,13.7,0,0
59,13.7,0,0
60,13.7,0,0
61,13.7,0,0
62,13.7,0,0
63,13.7,0,0
64,13.7,0,0
65,13.7,0,0
66,13.7,0,0
67,13.7,0,0
68,13.7,0,0
69,13.7,0,0
70,13.7,0,0
71,13.7,0,0
72,13.7,0,0
73,13.7,0,0
74,13.7,0,0
75,13.7,0,0
76,13.7,0,0
77,13.7,0,1.9
78,13.7,0,0
79,13.7,0,0
80,13.7,0,0
81,13.7,0,0
82,13.7,0,0
83,13.7,0,0
84,13.7,0,0
85,13.7,0,0
86,13.7,0,0
87,13.7,0,0
88,13.7,0,0
89,13.7,0,0
90,13.7,0,0
91,13.7,0,0
92,13.7,0,0
93,13.7,0,0
94,13.7,0,1.9
95,13.7,0,0
96,13.7,0,0
97,13.7,0,0
98,13.7,0,0
99,13.7,0,0
100,13.7,0,0
101,13.7,0,0
102,13.7,0,0
103,13.7,0,0
104,13.7,0,0
105,13.7,0,0
